"20180709101418P040050408913001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"FRANKLIN ELECTRIC CO., INC EMPLOYEE WELFARE BENEFITS PLAN","501","1960-01-01","FRANKLIN ELECTRIC CO., INC.",,,"9255 COVERDALE RD",,"FORT WAYNE","IN","468099613",,,,,,,"9255 COVERDALE RD",,"FORT WAYNE","IN","468099613",,,,,,,"350827455","2608242900","335310",,,,,,,,,,,,,,,,"FRANKLIN ELECTRIC CO., INC.","350827455","501","2018-07-09T10:08:39-0500","CHELLE TURNER-BALES","2018-07-09T10:08:39-0500","CHELLE TURNER-BALES",,,1144,1492,55,,1547,,1547,,,,,"4A4B4E4L4F4Q4D","1","0","0","1","1","0","0","1","0","0","0","0","0","1","2","1","0","0","FILING_RECEIVED","2018-07-09","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,1144,"2",,,,,"FRANKLIN ELECTRIC CO., INC. GROUP LIFE, AD&D AND MEDICAL PLAN",,,,
"20180709101436P040050409953001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"THE MOSAIC COMPANY RETIREE MEDICAL PLAN","502","2010-06-30","THE MOSAIC COMPANY",,,"3033 CAMPUS DRIVE","ATRIA CORPORATE CENTER, SUITE E490","PLYMOUTH","MN","55441",,,,,,,,,,,,,,,,,,"201026454","8009188270","325300",,,,,,,,,,,,,,,,,,,"2018-07-09T10:13:34-0500","TAMMY WILKERSON",,,,,815,0,815,0,815,,,,,,,"4A4B4D","1","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-07-09","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,0,"2",,,,,,,,,
"20180709101538P040001360745001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"JACKSON SPALDING, INC. PROFIT SHARING 401(K) PLAN","001","1995-10-01","JACKSON SPALDING, INC.",,,"1100 PEACHTREE ST. NE, STE 900",,"ATLANTA","GA","30309",,,,,,,,,,,,,,,,,,"582180530","4047242508","541800","JACKSON SPALDING, INC.",,"1100 PEACHTREE ST. NE, STE 900",,"ATLANTA","GA","30309",,,,,,,"582180530","4047242508",,,,"2018-07-09T10:12:20-0500","GENE CROSBY",,,,,161,149,0,29,178,0,178,178,0,,"2E2F2G2J2K2T3D",,"1","0","1","0","0","0","1","0","1","0","0","1","0","1","1","1","1","0","FILING_RECEIVED","2018-07-09","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,
"20180709101544P030036450413001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"PILOT AIR FREIGHT HEALTHCARE PLAN","501","1989-12-01","PILOT AIR FREIGHT CORP",,,"314 N. MIDDLETON ROAD","PO BOX 97","LIMA","PA","19037",,,,,,,,,,,,,,,,,,"231735550","6108918100","485990",,,,,,,,,,,,,,,,,,,"2018-07-09T10:14:46-0500","VIJAY TALLAPRAGADA",,,,,882,983,,,983,,,,,,,"4A4B4D4E4F4H4Q","1","0","0","1","1","0","0","1","0","0","0","0","0","1","6","0","0","0","FILING_RECEIVED","2018-07-09","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,882,"2",,,,,,,,,
"20180709115311P040047357351001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"DEANGELIS DIAMOND CONSTRUCTION, LLC WELFARE BENEFITS PLAN","510","2015-01-01","DEANGELIS DIAMOND CONSTRUCTION, LLC",,,"6635 WILLOW PARK DRIVE",,"NAPLES","FL","34109",,,,,,,,,,,,,,,,,,"650634426","2394514064","236200",,,,,,,,,,,,,,,,,,,,,,,,,171,157,0,0,157,,,,,,,"4A4B4D4E4H","1","0","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","FILING_RECEIVED","2018-07-09",,,,,,"1",,,,,,,,,,,,,,,,,171,"2",,,"2018-07-09T07:00:00-0500","GRANT GOEBEL",,,,,
"20180709115355P030048430641001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"WILDFIRE CREDIT UNION'S HEALTH & WELFARE BENEFIT PLAN","501","2015-01-01","WILDFIRE CREDIT UNION",,,"6640 BAY ROAD",,"SAGINAW","MI","48604",,,,,,,,,,,,,,,,,,"380996065","9892498231","522130",,,,,,,,,,,,,,,,,,,"2018-07-09T09:10:40-0500","ROBERT TRUMBLE","2018-07-09T09:10:40-0500","ROBERT TRUMBLE",,,151,155,0,0,155,,,,,,,"4A4B4D4E4F4H4Q","1",,,"1","1",,,"1",,,,,,"1","4",,,,"FILING_RECEIVED","2018-07-09","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,151,"2",,,,,,,,,
"20180709115437P030048433121001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"ROCKY BRANDS, INC. HEALTH BENEFITS PLAN","501","2002-01-01","ROCKY BRANDS, INC.",,,"39 EAST CANAL STREET",,"NELSONVILLE","OH","45764",,,,,,,,,,,,,,,,,,"311364046","7407531951","316210",,,,,,,,,,,,,,,,,,,"2018-07-09T11:53:20-0500","KELLEY KING",,,,,286,320,0,0,320,,,,,,,"4A4B4D4E4F4H","1","0","0","1","1","0","0","1","0","0","0","0","0","1","7","0","0","0","FILING_RECEIVED","2018-07-09","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,286,"2",,,,,,,,,
"20180709115556P030048437249001","2017-01-01","2017-12-31","4","P","0","0","0","0","0","0","0","0","0",,"SIA-1A (TARGETFIT INC CONS STRAT)","252",,"MASSACHUSETTS MUTUAL LIFE INSURANCE",,,"1295 STATE STREET",,"SPRINGFIELD","MA","01111",,,,,,,,,,,,,,,,,,"900342299","4137441000",,,,,,,,,,,,,,,,,,,,,,,,"2018-07-09T11:55:39-0500","TINA WILSON",,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","1","0","0",,"0","1","0","FILING_RECEIVED","2018-07-09",,"Filed with authorized/valid electronic signature",,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,
"20180709115703P040001371817001","2017-10-01","2017-12-31","2",,"0","0","0","1","0","0","0","0","0",,"KUTZLER EXPRESS, INC. BENEFIT PLAN","501","2006-08-01","KUTZLER EXPRESS, INC.",,,"12737 60TH ST",,"KENOSHA","WI","531447555",,,,,,,,,,,,,,,,,,"391417146","2628577945","484110",,,,,,,,,,,,,,,,,,,"2018-07-09T11:11:03-0500","BRIAN VACCARO",,,,,99,100,,,100,,100,,,,,"4B","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-07-09","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,99,"2",,,,,,,,,
"20180709115706P030048439521001","2017-01-01","2017-12-31","2",,"0",,"0","0","0",,"1",,,,"COMMUNITY CATALYSTS OF CALIFORNIA 403(B) PLAN","001","1995-02-01","COMMUNITY CATALYSTS OF CALIFORNIA",,,"3750 CONVOY STREET #306",,"SAN DIEGO","CA","921113745",,,,,,,,,,,,,,,,,,"330008269","8582922020","624100",,,,,,,,,,,,,,,,,,,"2018-07-09T11:56:52-0500","PRUDENCE DUMON","2018-07-09T11:56:52-0500","PRUDENCE DUMON",,,312,318,0,13,331,0,331,150,11,,"2F2G2L2M2T",,"1",,"1",,"1",,"1",,"1","0","0","1","0","1","1","1","0","0","FILING_RECEIVED","2018-07-09","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,305,,,,,,,,,,
