"20180725162328P030003918165001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"YOUTH VILLAGES RETIREMENT PLAN","001","1988-01-01","YOUTH VILLAGES, INC.",,,"PO BOX 341154",,"MEMPHIS","TN","38184",,,,,,,,,,,,,,,,,,"581716970","9018678832","813000",,,,,,,,,,,,,,,,,,,"2018-07-25T16:22:46-0500","GREG GREGORY","2018-07-25T16:22:46-0500","GREG GREGORY",,,2272,1726,0,378,2104,0,2104,2058,205,,"2E3D",,,,"1",,,,"1",,"1",,,"1",,,,"1",,,"FILING_RECEIVED","2018-07-25","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,1853,,,,,,,,,,
"20180725162412P030003918261001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"CITY AUTO GLASS, INC. EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST","002","2015-01-01","CITY AUTO GLASS, INC.",,,"116 S CONCORD EXCHANGE",,"SO ST. PAUL","MN","55075",,,,,,,,,,,,,,,,,,"411652150","6515524272","811120",,,,,,,,,,,,,,,,,,,"2018-07-25T16:24:02-0500","DEBORAH SCHNEIDER","2018-07-25T16:24:02-0500","DEBORAH SCHNEIDER",,,76,70,0,5,75,0,75,73,7,,"2O2Q3I",,"0","0","1","0","0","0","1","0","1","0","0","0","1","0",,"0","0","0","FILING_RECEIVED","2018-07-25","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,73,,,,,,,,,,
"20180725162642P030085018497001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"LAW OFFICES OF NICOLE D SULLIV 401(K) PROFIT SHARING PLAN & TRUST","001","2013-01-01","LAW OFFICES OF NICOLE D SULLIV",,,"69 MILK STREET SUITE 200",,"WESTBOROUGH","MA","01581",,,,,,,,,,,,,,,,,,"042723125","5087557003","541110",,,,,,,,,,,,,,,,,,,"2018-07-25T04:26:39-0500","NICOLE SULLIVAN",,,,,8,11,0,0,11,0,11,3,0,,"2A2E2F2G2J2K2R2T3D",,"0","0","1","0","0","0","1","0","0",,,"0","1","0","0","0","0",,"FILING_RECEIVED","2018-07-25","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,8,,,,,,,,,,
"20180725162712P030081742631001","2017-03-04","2017-12-31","2",,"1","0","0","1","0","0","0","0","0",,"FREEDOM INVESTMENT CORP. 401(K) PLAN","001","2017-03-04","FREEDOM INVESTMENT CORP.",,,"8122 CATHERINE AVE.",,"STANTON","CA","90680",,,,,,,,,,,,,,,,,,"820784020","7144202976","722300",,,,,,,,,,,,,,,,,,,"2018-07-25T16:26:13-0500","JOSHUA R SMITH","2018-07-25T16:26:13-0500","JOSHUA R SMITH",,,0,1,0,0,1,0,1,1,0,,"2E2F2G2J2K3D3H",,"0","0","1","0","0","0","1","0","0","0","0","0","1","0",,"0","0","0","FILING_RECEIVED","2018-07-25","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,0,,,,,,,,,,
"20180725162736P030003279545001","2017-01-01","2017-12-31","2",,"0","0","1","0","0","0","0","0","0",,"DIASORIN, INC. LIFE PLAN","505","2009-01-01","DIASORIN, INC.",,,"1951 NORTHWESTERN AVENUE",,"STILLWATER","MN","55082",,,,,,,,,,,,,,,,,,"411980846","6513515647","325410",,,,,,,,,,,,,,,,,,,"2018-07-25T16:23:46-0500","DOUG SCHUENKE",,,,,550,0,0,0,0,,,,,,,"4B","1","0","0","0","1","0","0","0","0","0","0","0","0","1","2","0","0","0","FILING_RECEIVED","2018-07-25","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,550,"2",,,,,,,,,
"20180725162749P030003279609001","2017-01-01","2017-12-31","2",,"0","1","0","0","0","0","0","0","0",,"HBZ INSURANCE BROKERS 401(K) PROFIT SHARING PLAN","001","1975-01-01","HUNTLEY-SHEEHY INC",,,"520 OLIVE STREET",,"MARYSVILLE","CA","959015637",,,,,,,,,,,,,,,,,,"942194214","5307439264","524210",,,,,,,,,,,,,,,,"HUNTLEY-SHEEHY INC","942194214","001",,,,,,,9,9,0,0,9,0,9,9,0,,"2E3D",,"1",,"1",,"1",,"1",,"1",,,,"1","1","2",,,,"FILING_RECEIVED","2018-07-25",,,,,,"1",,,,,,,,,,,,,,,,,9,,,,"2018-07-23T07:00:00-0500","ZACHARY T. ZALL","HUNTLEY-SHEEHY INC PROFIT SHARING PLAN","2018-07-23T07:00:00-0500","ZACHARY T. ZALL",,
"20180725162814P030081744615001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"SUNRISE MEDICAL LABORATORIES HEALTH REIMBURSEMENT ARRANGEMENT","535","2013-01-01","SUNRISE MEDICAL LABORATORIES, INC.",,,"250 MILLER PLACE",,"HICKSVILLE","NY","11801",,,,,,,,,,,,,,,,,,"112981029","6314351515","621510",,,,,,,,,,,,,,,,,,,"2018-07-25T16:21:06-0500","HANITA ALEXANDER",,,,,100,100,0,0,100,,,,,,,"4A4R","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","FILING_RECEIVED","2018-07-25","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,100,"2",,,,,,,,,
"20180725162814P030081744647001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"CUYUNA REGIONAL MEDICAL CENTER HEALTH AND WELFARE BENEFITS WRAP PLAN","599","2016-01-01","CUYUNA REGIONAL MEDICAL CENTER",,,"320 E MAIN ST",,"CROSBY","MN","56441",,,,,,,,,,,,,,,,,,"411724637","2185462353","622000",,,,,,,,,,,,,,,,,,,"2018-07-25T16:27:13-0500","CAITY EGGEN",,,,,691,703,5,9,717,,,,,,,"4A4B4D4H4Q","1","0","0","1","1","0","0","1","0","0","0","0","0","1","4","0","0","0","FILING_RECEIVED","2018-07-25","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,691,"2",,,,,,,,,
"20180725162859P040081261991001","2017-01-01","2017-12-31","2",,,,,,,"1",,,,,"VOLOGY WELFARE BENEFIT PLAN","501","2011-06-01","VOLOGY",,,"15950 BAY VISTA DRIVE",,"CLEARWATER","FL","33760",,,,,,,,,,,,,,,,,,"593760415","7272814571","423990",,,,,,,,,,,,,,,,,,,,,,,,,313,313,0,0,313,,,,,,,"4A4B4D4E4F4H4L4Q","1",,,"1","1",,,"1",,,,,,"1","3",,,,"FILING_RECEIVED","2018-07-25",,,,,,"1",,,,,,,,,,,,,,,,,313,"2",,,"2018-07-24T03:00:00-0500","DOUG PRAY",,,,,
"20180726143311P030004056853001","2017-04-01","2018-03-31","2",,"0","0","0","0","0","0","0","0","0",,"INFOSYS BPM LIMITED HEALTH PLAN","501","2013-11-01","INFOSYS BPM LIMITED",,,"16014 ROAD #2",,"AGUADILLA","PR","00603",,,,,,,"ROAD #2 WEST OF KM 126","BO CAIMITAL BAJO","AGUADILLA","PR","00603",,,,,,,"481260854","7876583374","561420","SOLUTIONS ADVOCATES, INC",,"PO BOX 367448",,"SAN JUAN","PR","00936",,,,,,,"660802934","7874212111",,,,"2018-07-11T12:42:37-0500","JUAN ALMODOVAR RAMIREZ","2018-07-26T14:29:10-0500","ROMEL MOLINA",,,121,120,0,0,120,0,120,,,,,"4A4D4E","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-07-26","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,
