"20180820125330P040091940189001","2017-01-01","2017-12-31","2",,,,,,,"1",,,,,"WESCAST INDUSTRIES, INC. 401(K) PLAN","001","2000-10-01","UNITED MACHINING, INC.",,,"6300 18 1/2 MILE ROAD",,"STERLING HEIGHTS","MI","483143112",,,,,,,,,,,,,,,,,,"261595414","5863234300","331200",,,,,,,,,,,,,,,,,,,,,,,,,281,170,0,49,219,0,219,215,3,,"2E2F2G2J2K2S2T3D3H",,"1",,"1",,,,"1",,"1",,,"1",,"1","1","1","1",,"FILING_RECEIVED","2018-08-20",,,,,,"1",,,,,,,,,,,,,,,,,212,,,,"2018-08-08T01:00:00-0500","JAMES LETOURNEAU",,,,,
"20180820125353P040091940557001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"FLORIDA SUGAR CANE LEAGUE, INC. 401(K) PLAN","002","1997-07-01","FLORIDA SUGAR CANE LEAGUE, INC.",,,"401 SOUTH W.C. OWEN AVENUE",,"CLEWISTON","FL","334403600",,,,,,,,,,,,,,,,,,"591117574","8639839151","813000",,,,,,,,,,,,,,,,,,,"2018-08-20T08:53:33-0500","MARIE MILLER","2018-08-20T07:30:12-0500","RYAN WESTON",,,9,11,0,2,13,0,13,9,,,"2A2E2F2G2J2K2T3D",,"0","0","1","0","0","0","1","0","1","0",,"0","1","0",,"0","1","0","FILING_RECEIVED","2018-08-20","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,7,,,,,,,,,,
"20180820125443P030056039279001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"CLARE ROSE, INC. PS AND 401(K) PLAN","001","1965-07-01","CLARE ROSE, INC.",,,"100 ROSE EXECUTIVE BLVD",,"EAST YAPHANK","NY","11967",,,,,,,,,,,,,,,,,,"112036262","6314751840","424800",,,,,,,,,,,,,,,,,,,"2018-08-20T12:54:32-0500","CHRISTINE DUNNE","2018-08-20T12:54:32-0500","CHRISTINE DUNNE",,,198,112,1,89,202,0,202,202,6,,"2E2G2K2J2T3D",,"1","0","1","0","1","0","0","0","1","0","0","1","0","1","1","1","1","0","FILING_RECEIVED","2018-08-20","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,107,,,,,,,,,,
"20180820125537P040091942045001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"BOYS AND GIRLS CLUBS OF THE TENNESSEE VALLEY 401(K) RETIREMENT PLAN","001","1943-10-26","BOYS & GIRLS CLUBS OF THE TENNESSEE VALLEY",,,"967 IRWIN STREET",,"KNOXVILLE","TN","37917",,,,,,,,,,,,,,,,,,"620475743","8655443825","624410",,,,,,,,,,,,,,,,,,,"2018-08-20T12:54:11-0500","KEVIN ELLSWORTH",,,,,178,127,18,29,174,0,174,149,10,,"2E2G2J2K2T3D",,"0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","1","1","0","FILING_RECEIVED","2018-08-20","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,136,,,,,,,,,,
"20180820125653P040091943261001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"SCOPUS IT INC 401(K) PROFIT SHARING PLAN & TRUST","001","2008-01-01","SCOPUS IT INC",,,"244 5TH AVE STE N200",,"NEW YORK","NY","10001",,,,,,,,,,,,,,,,,,"208147732","2127445308","541511",,,,,,,,,,,,,,,,,,,"2018-08-20T00:56:50-0500","NOAH WOLLOWICK",,,,,21,27,0,1,28,0,28,10,0,,"2E2F2G2J2K2R2T3D",,"0","0","1","0","0","0","1","0","1",,,"0","1","0","0","0","0",,"FILING_RECEIVED","2018-08-20","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,21,,,,,,,,,,
"20180820125742P040131437863001","2017-04-21","2017-12-31","2",,"1","0","0","1","0","1","0","0","0",,"THE KNA CORPORATION RETIREMENT PLAN","001","2017-04-21","THE KNA CORPORATION",,,"8171 ARROWLEAF TURN",,"GAINESVILLE","VA","20155",,,,,,,,,,,,,,,,,,"821266097","5715100725","713100",,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,,2,2,,,"2E2F2G3D",,"0","0","1","0","0","0","1","0","0","0","0","0","1","0",,"0","0","0","FILING_RECEIVED","2018-08-20",,,,,,"1",,,,,,,,,,,,,,,,,2,,,,"2018-08-11T00:00:00-0500","NADEEM AHMED",,,,,
"20180821151220P030005508521001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"SOUTHWEST WATER COMPANY EMPLOYEE HEALTH & WELFARE BENEFIT PLAN","512","2014-01-01","SOUTHWEST WATER COMPANY",,,"12535 REED ROAD",,"SUGAR LAND","TX","77478",,,,,,,,,,,,,,,,,,"951840947","8322095083","221300",,,,,,,,,,,,,,,,,,,"2018-08-21T15:08:53-0500","MARK RODRIGUEZ",,,,,369,332,2,0,334,,,,,,,"4A4B4D4E4F4H4Q","1","0","0","1","1","0","0","1","0","0","0","0","0","1","5","1","0","0","FILING_RECEIVED","2018-08-21","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,326,"2",,,,,,,,,
"20180821151225P040004297353001","2017-02-01","2018-01-31","2",,,,,,,,,,,,"CONTRACT PHARMACY SERVICES, INC. LIFE AND AD&D INSURANCE PLAN","503","2013-02-01","CONTRACT PHARMACY SERVICES, INC.",,,"125 TITUS AVE",,"WARRINGTON","PA","189762424",,,,,,,,,,,,,,,,,,"232013561","2674879000","424210",,,,,,,,,,,,,,,,,,,,,,,,,109,123,0,0,123,,,,,,,"4B4H4L","1",,,,"1",,,,,,,,,"1","1",,,,"FILING_RECEIVED","2018-08-21",,,,,,"1",,,,,,,,,,,,,,,,,114,"2",,,"2018-08-21T03:00:00-0500","ROBERT D HILL",,,,,
"20180821151316P040132887591001","2017-07-06","2017-12-31","2",,"1",,,"1",,"1",,,,,"MHL TECH SOLUTIONS, INC. RETIREMENT PLAN","001","2017-07-06","MHL TECH SOLUTIONS, INC.",,,"22060 NE 175TH STREET",,"WOODINVILLE","WA","98077",,,,,,,,,,,,,,,,,,"822093904","2066057769","541600",,,,,,,,,,,,,,,,,,,"2018-08-21T16:13:10-0500","MICHAEL HLAVATY-LAPOSA",,,,,2,2,0,0,2,0,2,1,0,,"2E2G3D2R",,,,"1",,,,"1",,,,,,"1",,,,,,"FILING_RECEIVED","2018-08-21","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,2,,,,,,,,,,
"20180821151333P030134240759001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"GROUND ZERO CONTRACTING 401(K) PLAN","001","2012-01-01","GROUND ZERO CONTRACTING LLC",,,"1600 TERMINAL DRIVE",,"SAGINAW","MI","48601",,,,,,,,,,,,,,,,,,"270434694","9894012994","484110",,,,,,,,,,,,,,,,,,,"2018-08-21T15:13:22-0500","MATTHEW SCHULTZ","2018-08-21T15:13:22-0500","MATTHEW SCHULTZ",,,30,18,0,9,27,0,27,24,0,,"2E2F2G2J2K2T3D",,"0","0","1","0","0","0","1","0","1","0","0","0","1","0",,"0","0","0","FILING_RECEIVED","2018-08-21","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,22,,,,,,,,,,
