"20180717183218P030064734839001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"MCCULLOUGH'S SMALL BUSINESS SOLUTIONS, INC. PROFIT SHARING PLAN","001","2004-07-26","MCCULLOUGH'S SMALL BUSINESS SOLUTIONS, INC.",,,"401 FOUNDERS POINTE BLVD.",,"FRANKLIN","TN","37064",,,,,,,,,,,,,,,,,,"201423658","6156610556","541800",,,,,,,,,,,,,,,,,,,"2018-07-17T14:18:26-0500","MARK MCCULLOUGH","2018-07-17T14:18:26-0500","MARK MCCULLOUGH",,,8,7,0,1,8,0,8,6,1,,"2A2E2F2G2J2R3D",,,,"1",,,,"1",,,,,,"1",,,,,,"FILING_RECEIVED","2018-07-17","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,8,,,,,,,,,,
"20180717183335P030064738663001","2017-01-01","2017-12-31","2",,,,,,,,,,,,"SCHLUMBERGER LIFT SOLUTIONS WELFARE PLAN","501","2013-04-01","SCHLUMBERGER LIFT SOLUTIONS",,,"3600 BRIARPARK",,"HOUSTON","TX","77042",,,,,,,,,,,,,,,,,,"371730122","7136895721","333310",,,,,,,,,,,,,,,,,,,,,,,,,275,188,15,0,203,,,,,,,"4A4B4D4E4F4H4L","1",,,,"1",,,,,,,,,"1","3",,,,"FILING_RECEIVED","2018-07-17",,,,,,"1",,,,,,,,,,,,,,,,,275,"2",,,"2018-07-13T03:00:00-0500","MARLA GRAHAM",,,,,
"20180717183349P030002548601001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"5960, INC. PROFIT SHARING PLAN","001","2004-06-01","5960, INC.",,,"186 HIGHLAND SHORES ROAD",,"CASCO","ME","04015",,,,,,,,,,,,,,,,,,"201187524","2077210404","442291",,,,,,,,,,,,,,,,,,,"2018-07-17T04:34:40-0500","DENNIS DUNHAM","2018-07-17T04:34:40-0500","DENNIS DUNHAM",,,2,3,0,0,3,0,3,1,0,,"2A2E2F2G2R3D",,,,"1",,,,"1",,,,,,"1",,,,,,"FILING_RECEIVED","2018-07-17","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,2,,,,,,,,,,
"20180718080755P030067933121001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"SCHUETTE, INC. WELFARE BENEFIT PLAN","502","1989-01-01","SCHUETTE, INC.",,,"PO BOX 1305",,"WAUSAU","WI","544021305",,,,,,,,,,,,,,,,,,"390925153","7153554500","332900",,,,,,,,,,,,,,,,,,,"2018-07-18T08:03:35-0500","DANIEL HANCOCK",,,,,124,138,0,0,138,,,,,,,"4A4B4D4E4F4H4L","1","0","0","1","1","0","0","1","0","0","0","0","0","1","5","0","0","0","FILING_RECEIVED","2018-07-18","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,124,"2",,,,,,,,,
"20180718080800P030067933345001","2017-01-01","2017-09-30","2",,"0","0","0","1","0","0","0","1","0",,"AMFUEL HEALTH INSURANCE PLAN","501","2003-10-01","AMFUEL CELL & COATED FABRICS CO.",,,"601 FIRESTONE DRIVE",,"MAGNOLIA","AR","71753",,,,,,,,,,,,,,,,,,"710567522","8702357391","326200",,,,,,,,,,,,,,,,,,,"2018-07-18T08:06:43-0500","DIANNE STRICKLAND",,,,,187,153,0,0,153,,,,,,,"4A","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-07-18","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,187,"2",,,,,,,,,
"20180718094858P040002706757001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"HATTIESBURG CLINIC PA GROUP DISABILITY, LIFE INSURANCE, LONG TERM CARE & AD&D","501","1971-07-01","HATTIESBURG CLINIC PA",,,"415 S 28TH AVE",,"HATTIESBURG","MS","394017246",,,,,,,"415 S 28TH AVE",,"HATTIESBURG","MS","394017246",,,,,,,"640507572","6012646000","621111",,,,,,,,,,,,,,,,,,,"2018-07-16T18:02:36-0500","ALEX AGNEW","2018-07-16T18:02:36-0500","ALEX AGNEW",,,2137,2249,14,,2263,,2263,,,,,"4B4H4L4Q","1","0","0","0","1","0","0","0","0","0","0","0","0","1","7","0","0","0","FILING_RECEIVED","2018-07-18","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,2120,"2",,,,,,,,,
"20180718094909P040065220551001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"WRIGHT & FILIPPIS, INC. GROUP LIFE INSURANCE, ACCIDENTAL DEATH & LONG TERM DISABILITY","501","1987-12-01","WRIGHT & FILIPPIS, INC.",,,"2845 CROOKS ROAD",,"ROCHESTER HILLS","MI","48309",,,,,,,,,,,,,,,,,,"381747499","2488298200","621498",,,,,,,,,,,,,,,,,,,"2018-07-18T09:48:19-0500","SHARON MYATT",,,,,287,258,1,0,259,,,,,,,"4B4F4H4L","1","0","0","0","1","0","0","0","0","0","0","0","0","1","5","0","0","0","FILING_RECEIVED","2018-07-18","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,287,"2",,,,,,,,,
"20180718094932P030066104695001","2017-07-06","2017-12-31","2",,"1","0","0","1","0","0","0","0","0",,"DJR SERVICES, INC. 401(K) PROFIT SHARING PLAN","001","2017-07-06","DJR SERVICES, INC.",,,"311 DEVON CT",,"GRAYSLAKE","IL","60030",,,,,,,,,,,,,,,,,,"822101331","8474476655","561720",,,,,,,,,,,,,,,,,,,"2018-07-18T09:48:03-0500","DAVID REYNOLDS",,,,,2,2,0,0,2,0,2,2,0,,"2E2J2K2H3D",,"0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","FILING_RECEIVED","2018-07-18","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,2,,,,,,,,,,
"20180718095010P030002594089001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"BERGGREN MARKETS ENTERPRISES, INC PROFIT SHARING PLAN","001","1990-12-27","BERGGREN MARKETS ENTERPRISES, INC.",,"VERNON BERGGREN","16666 5TH ST S",,"LAKELAND","MN","550439472",,,,,,,"16666 5TH ST S",,"LAKELAND","MN","550439472",,,,,,,"411645109",,"445110",,,,,,,,,,,,,,,,,,,"2018-07-18T09:46:09-0500","VERNON BERGGREN",,,,,5,5,,,5,,5,5,,,"2E2G3D",,"0","0","1","0","0","0","1","0","0","0","0","0","1","0",,"0","0","0","FILING_RECEIVED","2018-07-18","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,5,,,,,,,,,,
"20180718095022P040065222151001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"WRIGHT & FILIPPIS, INC. HEALTH INSURANCE PLAN","502","2003-01-01","WRIGHT & FILIPPIS, INC.",,,"2845 CROOKS ROAD",,"ROCHESTER HILLS","MI","48309",,,,,,,,,,,,,,,,,,"381747499","2488298200","621498",,,,,,,,,,,,,,,,,,,"2018-07-18T09:49:36-0500","SHARON MYATT",,,,,240,179,3,0,182,,,,,,,"4A4D4E4G4Q","1","0","0","1","1","0","0","1","0","0","0","0","0","1","4","0","0","0","FILING_RECEIVED","2018-07-18","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,232,"2",,,,,,,,,
"20180718095034P040071097857001","2017-01-01","2017-12-31","2",,"0","1","0","0","0","1","0","0","0",,"AER LINGUS 401(K) PLAN","003","1989-01-01","AER LINGUS LIMITED",,,"300 JERICHO QUADRANGLE SUITE 130",,"JERICHO","NY","11753",,,,,,,,,,,,,,,,,,"113523578","5166224110","481000","AER LINGUS LIMITED",,"300 JERICHO QUADRANGLE STE 130",,"JERICHO","NY","117532716",,,,,,,"113523578","5166224115",,,,"2018-07-18T09:49:38-0500","JACK FOLEY",,,,,150,126,0,47,173,3,176,116,1,,"2F2G2J2K3D2E2T",,"0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","1","1","0","FILING_RECEIVED","2018-07-18","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,
