"20180808055958P040107079639001","2017-01-01","2017-12-31","2",,,,,,,"1",,,,,"ALLEN DISTRIBUTION","501","1988-11-07","ALLEN DISTRIBUTION",,,"PO BOX 62",,"PLANFIELD","PA","17081",,,,,,,"PO BOX 62",,"PLAINFIELD","PA","17081",,,,,,,"251576445","7172583040","493100",,,,,,,,,,,,,,,,,,,,,,,,,315,312,,,312,,,,,,,"4A4B4D4E4F4H","1",,,,"1",,,,,,,,,"1","2","1",,,"FILING_RECEIVED","2018-08-08",,,,,,"1",,,,,,,,,,,,,,,,,315,,,,"2018-07-31T07:00:00-0500","GARY HEISHMAN",,"2018-07-31T07:00:00-0500","GARY HEISHMAN",,
"20180808060553P040107086007001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"RIDGEWOOD ORTHOPEDIC GROUP LLC CASH BALANCE PLAN","002","2016-01-01","RIDGEWOOD ORTHOPEDIC GROUP LLC",,,"85 SOUTH MAPLE AVE",,"RIDGEWOOD","NJ","07450",,,,,,,,,,,,,,,,,,"223596388","2014452830","621111",,,,,,,,,,,,,,,,,,,"2018-08-08T06:05:17-0500","ANTHONY DELFICO",,,,,32,31,0,0,31,0,31,,4,,"1A1C3B3H",,"0","0","1","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","FILING_RECEIVED","2018-08-08","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,32,,,,,,,,,,
"20180808060705P040107087127001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"LINAK U.S. INC. 401K RETIREMENT SAVINGS PLAN","001","1998-07-01","LINAK U.S. INC",,,"2200 STANLEY GAULT PARKWAY",,"LOUISVILLE","KY","40223",,,,,,,,,,,,,,,,,,"611265293","5022535595","423800",,,,,,,,,,,,,,,,,,,"2018-08-08T06:03:31-0500","SHERRI SCHUENEMEYER",,,,,286,253,0,24,277,0,277,264,0,,"2E2F2G2J2K2T3D3F",,"1","0","0","0","0","0","1","0","1","0","0","1","0","1","1","1","1","0","FILING_RECEIVED","2018-08-08","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,262,,,,,,,,,,
"20180806115905P030047458047001","2017-01-01","2017-12-31","4","C","0","0","0","0","0","0","0","0","0",,"DGI GROWTH FUND","153","2015-03-01","HAND BENEFITS & TRUST COMPANY",,,"820 GESSNER ROAD","SUITE 1250","HOUSTON","TX","77024",,,,,,,,,,,,,,,,,,"742008758","7134601000",,"HAND BENEFITS & TRUST CO","KELLI C HILL","820 GESSNER ROAD","STE 1250","HOUSTON","TX","77024",,,,,,,"742008758","7137443813",,,,"2018-08-06T11:58:29-0500","JONATHAN B. SALZBERG",,,,,,,,,0,,,,,,,,"0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","FILING_RECEIVED","2018-08-06","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20180806115923P030047458607001","2017-07-01","2018-06-30","2",,"1","0","0","0","0","0","0","0","0",,"SOUTHEAST KANSAS MENTAL HEALTH CENTERS","501","2017-07-01","SOUTHEAST KANSAS MENTAL HEALTH CENTER","SOUTHEAST KANSAS MENTAL HEALTH CENTER",,"1106 S 9TH ST",,"HUMBOLDT","KS","667481934",,,,,,,"1106 S 9TH ST",,"HUMBOLDT","KS","667481934",,,,,,,"480678906","6203803195","621420","DEBBIE GARCIA","SOUTHEAST KANSAS MENTAL HEALTH CENTER","1106 S 9TH ST",,"HUMBOLDT","KS","667481934",,,,,,,"480678906","6203803195",,,,"2018-08-06T11:58:35-0500","DEBBIE GARCIA",,,,,95,90,2,,92,,92,,,,,"4B","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-08-06","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,95,"2",,,,,,,,,
"20180806120008P040103470999002","2017-01-01","2017-12-31","2",,,,,,,,,,,,"MW RETINA CONSULTANTS, SC PROFIT SHARING PLAN","001","1985-01-01","MIDWEST RETINA CONSULTANTS, S.C.",,,"1100 W CENTRAL RD",,"ARLINGTON HEIGHTS","IL","60005",,,,,,,,,,,,,,,,,,"363318169","8473943933","621111",,,,,,,,,,,,,,,,,,,"2018-07-25T11:52:02-0500","DAN ALTER",,,,,4,4,0,0,4,0,4,4,0,,"2E",,,,"1",,,,"1",,,,,,"1",,,,,,"FILING_RECEIVED","2018-08-06","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,4,,,,,,,,,,
"20180806120008P040103470999003","2017-01-01","2017-12-31","2",,,,,,,,,,,,"MW RETINA CONSULTANTS, SC EMPLOYEES P/S PLAN","002","2000-12-30","MIDWEST RETINA CONSULTANTS, S.C.",,,"1100 W CENTRAL RD",,"ARLINGTON HEIGHTS","IL","60005",,,,,,,,,,,,,,,,,,"363318169","8473943933","621111",,,,,,,,,,,,,,,,,,,"2018-08-06T12:16:55-0500","DAN ALTER",,,,,32,34,0,0,34,0,34,34,0,,"2E",,,,"1",,,,"1",,,,,,"1",,,,,,"FILING_RECEIVED","2018-08-06","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,32,,,,,,,,,,
"20180806120008P040103470999004","2017-01-01","2017-12-31","2",,,,,,,,"1",,,,"FOR BARE FEET, INC.","501","2001-06-01","FOR BARE FEET INC.",,,"1201 S OHIO ST",,"MARTINSVILLE","IN","46151",,,,,,,,,,,,,,,,,,"351651131","7653497474","424300",,,,,,,,,,,,,,,,,,,,,,,,,142,124,0,0,124,,,,,,,"4B",,,,"1","1",,,,,,,,,"1","1",,,,"FILING_RECEIVED","2018-08-06",,,,,,"1",,,,,,,,,,,,,,,,,142,"2",,,"2018-08-02T12:00:00-0500","MANDY ZELLMER",,,,,
"20180806120008P040103470999001","2017-01-01","2017-12-31","2",,,"1","1",,,"1",,,,,"PMM HOLDINGS, INC. 401(K) PLAN","001","2009-02-14","PMM HOLDINGS, INC.",,"PAUL MISSON","13211 W. 66TH TERRACE",,"SHAWNEE","KS","66216",,,,,,,,,,,,,,,,,,"264264293","9133331934","524210",,,,,,,,,,,,,,,,,,,"2018-08-06T12:12:38-0500","PAUL MISSON","2018-08-06T12:12:46-0500","PAUL MISSON",,,1,0,0,0,0,0,0,0,0,,"2E2F2G2J2K1H",,,,"1",,,,"1",,,,,,"1",,,,,,"FILING_RECEIVED","2018-08-06","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,1,,,,,,,,,,
"20180806120021P040103471527001","2017-01-01","2017-12-31","2",,,,,,,"1",,,,,"MARY FREE BED HOSPITAL HEALTH BENEFITS PLAN","501","1979-01-01","MARY FREE BED HOSPITAL AND REHABILITATION CENTER",,,"235 WEALTHY SE",,"GRAND RAPIDS","MI","49503",,,,,,,,,,,,,,,,,,"381359265","6168408361","622000",,,,,,,,,,,,,,,,,,,,,,,,,881,958,4,,962,,,,,,,"4A4D4E","1",,,"1","1",,,"1",,,,,,"1","2",,,,"FILING_RECEIVED","2018-08-06",,,,,,"1",,,,,,,,,,,,,,,,,867,"2",,,"2018-07-27T07:00:00-0500","KAREN POWELL",,"2018-07-27T07:00:00-0500","HAYLEY VAN HECK",,
