"20180629110101P030001129337001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"JER2911 INC 401(K) PLAN","001","2016-05-11","JER2911 INC","KOPY KAT OFFICE",,"461 E AGGATE AVE BOX 2241",,"GRANBY","CO","80446",,,,,,,,,,,,,,,,,,"812322047","7024857401","453210",,,,,,,,,,,,,,,,,,,"2018-06-29T11:00:56-0500","CINDY SUE CDEBACA","2018-06-29T11:00:56-0500","CINDY SUE CDEBACA",,,1,1,0,0,1,0,1,1,0,,"2E2F2G2J2K3D",,"0","0","1","0","0","0","1","0","0","0","0","0","1","0",,"0","0","0","FILING_RECEIVED","2018-06-29","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,1,,,,,,,,,,
"20180629110125P030029013761001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"BBD CORPORATION PROFIT SHARING PLAN","001","2007-08-01","BBD CORPORATION",,,"3240-B HERITAGE DRIVE",,"KENNESAW","GA","301445624",,,,,,,,,,,,,,,,,,"260593249","7702180117","332900","BBD CORPORATION",,"3240-B HERITAGE DRIVE",,"KENNESAW","GA","301445624",,,,,,,"260593249","7702180117",,,,"2018-06-29T10:51:48-0500","WILLIAM SCHNITZER",,,,,6,4,0,1,5,0,5,5,0,,"2E3D2H",,"0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","FILING_RECEIVED","2018-06-29","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
"20180629110202P030001129417001","2017-03-01","2018-02-28","2",,,,,,,,,,,,"STEPHEN J PLACE INC PROFIT SHARING PLAN","001","1977-02-03","STEPHEN J PLACE INC",,,"11 BILLINGSLEY DRIVE",,"LIVINGSTON","NJ","07039",,,,,,,,,,,,,,,,,,"132854231","9739920092","523130","STEPHEN J PLACE INC",,"11 BILLINGSLEY DRIVE",,"LIVINGSTON","NJ","07039",,,,,,,"132854231","9739920092",,,,"2018-06-28T18:07:43-0500","STEPHEN J PLACE",,,,,2,,1,1,2,,2,2,,,"2E2G2R",,,,"1",,"1",,"1",,,,,,"1","1","1","1",,,"FILING_RECEIVED","2018-06-29","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20180629110202P030001129417002","2017-02-01","2017-12-31","2",,,,,"1",,,,,,,"DARELL YOUNG PLUMBING CORPORATION PROFIT-SHARING PLAN & TRUST","001","1998-12-01","DARELL YOUNG PLUMBING CORPORATION",,,"21 OXFORD WEST COURT",,"OXFORD","GA","30054",,,,,,,,,,,,,,,,,,"581896170","6786257270","238220","DARELL YOUNG PLUMBING CORPORATION",,"21 OXFORD WEST COURT",,"OXFORD","GA","30054",,,,,,,"581896170","6786257270",,,,"2018-06-26T10:12:01-0500","TAMMY YOUNG","2018-04-22T16:14:11-0500","BARRY M LUBRANT CPA PFS",,,0,3,,,3,,3,,,,"2E",,,,"1",,,,"1",,,,,,"1",,,,,,"FILING_RECEIVED","2018-06-29","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
"20180629110240P040027039255001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"HERITAGE BANK HEALTH & WELFARE PLAN","502","1999-01-01","HERITAGE BANK OF COMMERCE",,,"150 ALMADEN BLVD.",,"SAN JOSE","CA","95113",,,,,,,,,,,,,,,,,,"770360405","4087924042","522110",,,,,,,,,,,,,,,,,,,"2018-06-29T11:01:53-0500","JANICE MIZOTA",,,,,268,278,4,0,282,,,,,,,"4A4B4D4E4F4H4Q","1","0","0","1","1","0","0","1","0","0","0","0","0","1","6","0","0","0","FILING_RECEIVED","2018-06-29","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,260,"2",,,,,,,,,
"20180629134254P040029514209001","2017-01-01","2017-12-31","3",,"0","0","1","0","1","0","0","0","0",,"SOUTH DAKOTA ASSOCIATION OF COMMUNITY BASED SERVICES 403(B) RETIREMENT PLAN","002","2011-01-01","SOUTH DAKOTA COUNCIL OF MENTAL HEALTH CENTERS",,,"P.O. BOX 532",,"PIERRE","SD","575010532",,,,,,,,,,,,,,,,,,"460442372","6052240123","624310",,,,,,,,,,,,,,,,,,,"2018-06-29T13:42:28-0500","TERRANCE DOSCH","2018-06-29T13:42:28-0500","TERRANCE DOSCH",,,1003,0,0,0,0,0,0,0,0,,"2E2F2G2J2K2L3D",,,,"1",,,,"1",,"1",,,"1",,,,"1",,,"FILING_RECEIVED","2018-06-29","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,941,,,,,,"SOUTH DAKOTA ASSOCIATION OF COMMUNITY BASED SERVICES 403(B) RETIREMENT PLAN",,,,
"20180629134354P030019911677001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"WMC MORTGAGE, LLC 401(K) PROFIT SHARING PLAN","001","1998-09-01","WMC MORTGAGE, LLC",,,"6320 CANOGA AVENUE SUITE 1420",,"WOODLAND HILLS","CA","91367",,,,,,,,,,,,,,,,,,"954652008","8183167835","522292",,,,,,,,,,,,,,,,,,,"2018-06-29T13:39:58-0500","ANN SAGE",,,,,364,10,2,210,222,0,222,222,0,,"2E2F2G2J2K2T3B3D3H",,"0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","1","0","0","FILING_RECEIVED","2018-06-29","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,13,,,,,,,,,,
"20180629142656P030020023533001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"INMEDIATA HEALTH GROUP","501","2013-01-01","INMEDIATA HEALTH GROUP",,,"636 AVE SAN PATRICIO",,"SAN JUAN","PR","009204507",,,,,,,"636 AVE SAN PATRICIO",,"SAN JUAN","PR","009204507",,,,,,,"660622844","7877740606","541519",,,,,,,,,,,,,,,,,,,"2018-06-29T14:26:28-0500","ESMELY HERRERA","2018-06-29T14:26:28-0500","ESMELY HERRERA",,,143,164,,,164,,164,,,,,"4A4B4D4E4Q","1","0","0","0","1","0","0","0","0","0","0","0","0","1","2","0","0","0","FILING_RECEIVED","2018-06-29","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,143,"2",,,,,,,,,
"20180629142753P030020024573001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"INNOVATIVE LIVESTOCK SERVICES LIFE INSURANCE PLAN","504","2008-01-01","INNOVATIVE LIVESTOCK SERVICES, INC.",,,"P. O. BOX 1506",,"GREAT BEND","KS","67530",,,,,,,,,,,,,,,,,,"203849329","6207939200","112112",,,,,,,,,,,,,,,,,,,"2018-06-29T14:27:47-0500","JON SKELTON",,,,,247,237,,,237,,,,,,,"4B4Q","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-06-29","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,247,"2",,,,,,,,,
"20180629142859P040014575565001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"BANTERRA CORP. PROFIT SHARING PLAN","001","1985-01-01","BANTERRA CORP.",,,"1404 US HIGHWAY 45 SOUTH",,"ELDORADO","IL","62930",,,,,,,,,,,,,,,,,,"200105441","6189972760","551111",,,,,,,,,,,,,,,,,,,"2018-06-29T14:28:51-0500","JAMES MORRIS",,,,,420,412,0,52,464,1,465,422,13,,"2S2E3D2G2J2K2F2T",,"0","0","1","0","0","0","1","0","1","0","0","1","0","0",,"1","0","0","FILING_RECEIVED","2018-06-29","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,374,,,,,,,,,,
