"20180710111202P030019548111005","2017-01-01","2017-12-31","2",,,,,,,,,,,,"ALAN BEILSTEIN PENSION PLAN","001","1984-01-01","ALAN BEILSTEIN PENSION PLAN",,"ALAN BEILSTEIN","2333 FLETCHER PARKWAY",,"EL CAJON","CA","92020",,,,,,,,,,,,,,,,,,"953785911","6196982907","524210","ALAN BEILSTEIN PENSION PLAN","ALAN BEILSTEIN","2333 FLETCHER PARKWAY",,"EL CAJON","CA","92020",,,,,,,"953785911","6196982907",,,,"2018-07-10T10:23:07-0500","ALAN BEILSTEIN",,,,,6,5,1,,6,,6,5,,,"2E",,,,"1",,,,"1",,,,,,"1",,,,,,"FILING_RECEIVED","2018-07-10","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20180710111230P030019549471001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"GROUP LIFE INSURANCE PLAN","501","1948-12-15","DEBEVOISE & PLIMPTON LLP",,,"919 THIRD AVENUE",,"NEW YORK","NY","10022",,,,,,,,,,,,,,,,,,"135537279","2129096000","541110",,,,,,,,,,,,,,,,,,,"2018-07-10T11:11:50-0500","BART DELOSA",,,,,970,988,,,988,,,,,,,"4B","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-07-10","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,970,"2",,,,,,,,,
"20180710111240P040049646551001","2017-01-01","2017-12-31","2",,"0","0","0","0","1","1","0","0","0",,"EDISON 401(K) SAVINGS PLAN","002","1964-01-01","SOUTHERN CALIFORNIA EDISON COMPANY",,,"P O BOX 800","2244 WALNUT GROVE AVE.","ROSEMEAD","CA","917703714",,,,,,,,,,,,,,,,,,"951240335","6263020008","221100","SOUTHERN CALIFORNIA EDISON COMPANY",,"BENEFITS COMMITTEE","2244 WALNUT GROVE AVE","ROSEMEAD","CA","917703714",,,,,,,"953225971","6263020008",,,,"2018-07-06T19:24:55-0500","MARK BENNETT",,,,,17019,12595,87,4000,16682,84,16766,16270,124,,"2E2F2G2I2J2K2O3F3H2R2T2S",,"0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","1","1","0","FILING_RECEIVED","2018-07-10","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,12584,,,,,,,,,,
"20180710111338P030019552719001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"LEAP & ASSOCIATES, P.C. 401(K) PROFIT SHARING PLAN","001","2001-01-01","LEAP & ASSOCIATES, P.C.",,,"1798 PLANK RD, SUITE 301",,"DUNCANSVILLE","PA","16635",,,,,,,,,,,,,,,,,,"251877227","8146957441","541211",,,,,,,,,,,,,,,,,,,,,,,,,5,2,0,2,4,0,4,4,0,,"2E2G2J2K3D",,"0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","FILING_RECEIVED","2018-07-10",,,,,,"1",,,,,,,,,,,,,,,,,2,,,,"2018-07-10T07:00:00-0500","JOHN W. LEAP",,,,,
"20180710111435P040049649223001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"SBERA 401(K) PLAN AS ADOPTED BY BAY STATE SAVINGS BANK","002","1993-05-01","BAY STATE SAVINGS BANK",,,"28-32 FRANKLIN STREET",,"WORCESTER","MA","01608",,,,,,,,,,,,,,,,,,"041070050","5088909000","522120","THOMAS FORESE JR",,"12 GILL ST",,"WOBURN","MA","01801",,,,,,,"223244797","7819386559",,,,"2018-07-10T11:13:18-0500","THOMAS FORESE, JR.",,,,,95,67,0,27,94,0,94,85,0,,"2E2F2G2J2K3D2T2S",,"0","0","1","0","0","0","1","0","1","0","0","0","1","0",,"0","1","0","FILING_RECEIVED","2018-07-10","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,
"20180710111508P040049649991002","2017-05-01","2018-04-30","2",,,,,,,,,,,,"EAGLE STEEL CORP 401K PROFIT SHARING PLAN","002","1992-05-01","EAGLE STEEL CORPORATION",,,"1320 MEDINAH STREET",,"BENSENVILLE","IL","60106",,,,,,,,,,,,,,,,,,"362825549","6305953160","424990",,,,,,,,,,,,,,,,,,,"2018-07-06T12:24:29-0500","EDWARD A. ALBRECHT",,,,,3,0,0,0,0,0,0,,0,,"2E2J2K",,"1","1","1",,"1","1","1",,,,,,"1","1","1",,,,"FILING_RECEIVED","2018-07-10","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,3,,,,,,,,,,
"20180710111532P040049650471001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"THE COHO AT STANFORD UNIVERSITY PROFIT SHARING PLAN","001","2015-01-01","THE COHO AT STANFORD UNIVERSITY",,,"4133 ALPINE ROAD",,"PORTOLA VALLEY","CA","94028",,,,,,,,,,,,,,,,,,"262474305","6504557800","722511",,,,,,,,,,,,,,,,,,,,,,,,,57,37,0,16,53,0,53,46,0,,"2A2E3D",,,,"1",,,,"1",,,,,,"1",,,,,,"FILING_RECEIVED","2018-07-10",,,,,,"1",,,,,,,,,,,,,,,,,49,,,,"2018-06-28T07:00:00-0500","RAYMOND KLEIN",,"2018-06-28T07:00:00-0500","RAYMOND KLEIN",,
"20180710111543P030019558895001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"SBERA 401(K) PLAN AS ADOPTED BY CAPE ANN SAVINGS","002","1997-07-01","CAPE ANN SAVINGS BANK",,,"109 MAIN STREET",,"GLOUCESTER","MA","01930",,,,,,,,,,,,,,,,,,"041148820","9782830246","522120","THOMAS FORESE JR.",,"12 GILL STREET",,"WOBURN","MA","01801",,,,,,,"223244797","7819386559",,,,"2018-07-10T11:14:45-0500","THOMAS FORESE, JR.",,,,,93,72,0,22,94,0,94,85,0,,"2E2F2G2J3D2T",,"0","0","1","0","0","0","1","0","1","0","0","0","1","0",,"0","1","0","FILING_RECEIVED","2018-07-10","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,
"20180710125516P040001974725001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"TRESCAL, INC. EMPLOYEE BENEFITS PLAN","501","2005-05-01","TRESCAL, INC.",,,"1200 N. OLD US 23","PO BOX 559","HARTLAND","MI","48353",,,,,,,,,,,,,,,,,,"382716012","8102254601","811210",,,,,,,,,,,,,,,,,,,,,,,,,281,286,,,286,,,,,,,"4A4B4D4E4F4H4Q","1","0","0","1","1","0","0","1","0","0","0","0","0","1","2","0","0","0","FILING_RECEIVED","2018-07-10",,,,,,"1",,,,,,,,,,,,,,,,,281,"2",,,"2018-07-09T23:00:00-0500","KATHY BOYD",,,,,
"20180710175830P040031570861004","2017-01-01","2017-12-31","2",,,,,,,,,,,,"TRAINING AND EVALUATION CENTER OF HUTCHINSON, INC.","502","2014-01-01","TECH, INC.",,"JIM PRESTON","PO BOX 399",,"HUTCHINSON","KS","67504",,,,,,,"1300 EAST AVENUE A",,"HUTCHINSON","KS","67501",,,,,,,"480798502","6206631596","624100",,,,,,,,,,,,,,,,,,,,,,,,,103,106,,,106,,,,,,,"4B4Q","1",,,,"1",,,,,,,,,"1","1",,,,"FILING_RECEIVED","2018-07-10",,,,,,"1",,,,,,,,,,,,,,,,,103,"2",,,"2018-07-10T07:00:00-0500","JIM PRESTON",,,,,
