"20180720100618P040069789831001","2017-01-01","2017-12-31","2",,"0","0","0","0","1","0","0","0","0",,"CENTERPLATE COMPREHENSIVE WELFARE BENEFITS PLAN","501","1996-01-01","VOLUME SERVICES AMERICA, INC. (CENTERPLATE)",,,"201 EAST BROAD STREET",,"SPARTANBURG","SC","29306",,,,,,,,,,,,,,,,,,"570969174","8645988600","713900",,,,,,,,,,,,,,,,,,,,,,,,,2105,2119,14,0,2133,,,,,,,"4A4B4D4E4F4G4H4L","1","0","0","1","1","0","0","1","0","0","0","0","0","1","9","0","0","0","FILING_RECEIVED","2018-07-20",,,,,,"1",,,,,,,,,,,,,,,,,2072,"2",,,"2018-07-20T07:00:00-0500","DAVID M. WINARSKI",,,,,
"20180720100634P040002164953001","2017-01-01","2017-12-31","2",,"0","0","0",,"0","1","0","0","0",,"ESTES THORNE & CARR PLLC RETIREMENT PLAN","001","2008-01-01","ESTES THORNE & CARR PLLC",,,"3811 TURTLE CREEK BLVD","STE 2000","DALLAS","TX","75219",,,,,,,,,,,,,,,,,,"261675644","2145994004","541110",,,,,,,,,,,,,,,,,,,"2018-07-20T06:06:18-0500","LISA BYS",,,,,22,12,0,9,21,0,21,21,1,,"2A2E2F2G2J2T3B3D",,,"0","1","0",,"0","1","0","1","0",,"0","1","0","0","0","0","0","FILING_RECEIVED","2018-07-20","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,13,,,,,,,,,,
"20180720100640P030073663265001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"TENNESSEE RAND, INC. WELFARE BENEFIT PLAN","502","2005-01-01","TENNESSEE RAND, INC.",,,"702 MOCCASIN BEND ROAD",,"CHATTANOOGA","TN","37405",,,,,,,,,,,,,,,,,,"621080446","4236647263","333310",,,,,,,,,,,,,,,,,,,,,,,,,183,191,0,0,191,,,,,,,"4A","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-07-20",,,,,,"1",,,,,,,,,,,,,,,,,183,"2",,,"2018-07-18T07:00:00-0500","GEORGE BLANKENSHIP",,,,,
"20180720100647P040069791079001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"FISHER-TITUS MEDICAL CENTER SHORT TERM DISABILITY PLAN","506","2009-01-01","FISHER-TITUS MEDICAL CENTER",,,"272 BENEDICT AVE",,"NORWALK","OH","448572374",,,,,,,,,,,,,,,,,,"344430716","4196688101","622000",,,,,,,,,,,,,,,,,,,"2018-07-20T10:06:20-0500","SCOTT ENDSLEY",,,,,267,436,0,0,436,,,,,,,"4F","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-07-20","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,267,"2",,,,,,,,,
"20180720100727P040069792439001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"ATLANTIC POWER SERVICES 401(K) AND PROFIT SHARING PLAN","001","2011-11-05","ATLANTIC POWER SERVICES, LLC",,,"3 ALLIED DRIVE","SUITE 220","DEDHAM","MA","02026",,,,,,,,,,,,,,,,,,"452821416","6179772495","221100",,,,,,,,,,,,,,,,,,,"2018-07-20T06:07:03-0500","ERICA MAGINN",,,,,267,179,0,57,236,1,237,229,0,,"2T3D3H2E2F2G2J2K",,"1","0","1","0","1","0","1","0","1","0",,"1","0","1","1","1","1","0","FILING_RECEIVED","2018-07-20","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,185,,,,,,,,,,
"20180720100756P040002165209001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"GROUP LONG TERM DISABILITY INSURANCE FOR EMPLOYEES OF FISHER-TITUS MEDICAL CENTER","505","2008-10-01","FISHER-TITUS MEDICAL CENTER",,,"272 BENEDICT AVE",,"NORWALK","OH","448572374",,,,,,,,,,,,,,,,,,"344430716","4196688101","622000",,,,,,,,,,,,,,,,,,,"2018-07-20T10:07:30-0500","SCOTT ENDSLEY",,,,,950,994,0,0,994,,,,,,,"4H","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-07-20","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,950,"2",,,,,,,,,
"20180720100759P040002165225001","2017-01-01","2017-12-31","2",,"0","0","0",,"0","1","0","0","0",,"SKYLINK TECHNOLOGY, INC. 401(K) PLAN","001","2007-01-01","SKYLINK TECHNOLOGY, INC.",,,"3525 QUAKERBRIDGE RD. SUITE 906",,"HAMILTON","NJ","086191266",,,,,,,,,,,,,,,,,,"223422254","6096899200","334500",,,,,,,,,,,,,,,,,,,"2018-07-20T06:07:26-0500","ALAN MEEH",,,,,10,7,0,5,12,0,12,12,0,,"3D2E2F2G2J2K2T",,,"0","1","0",,"0","1","0","1","0",,"0","1","0","0","0","1","0","FILING_RECEIVED","2018-07-20","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,6,,,,,,,,,,
"20180720100847P040069795095001","2017-07-01","2018-06-30","2",,"0","0","1","0","0","0","0","0","0",,"THE HOWARD GILMAN FOUNDATION, ITS SUBSIDIARIES AND AFFILIATES TRAVEL ACCIDENT INSURANCE PLAN","530","1989-07-01","THE HOWARD GILMAN FOUNDATION, ITS SUBSIDIARIES AND AFFILIATES",,,"1 ROCKEFELLER PLAZA, SUITE 1701",,"NEW YORK","NY","100202045",,,,,,,"1 ROCKEFELLER PLAZA, SUITE 1701",,"NEW YORK","NY","100202045",,,,,,,"133097486","2124080428","321110",,,,,,,,,,,,,,,,,,,"2018-07-20T09:23:42-0500","MARY SLAUGHTER",,,,,225,0,,,0,,0,,,,,"4L","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-07-20","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,225,"2",,,,,,,,,
"20180720103156P040069863943001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"INDEPENDENT INSURANCE AGENTS OF TEXAS 401K PLAN","003","2000-03-28","INDEPENDENT INSURANCE AGENTS OF TEXAS",,,"PO BOX 684487",,"AUSTIN","TX","78768",,,,,,,"1115 SAN JACINTO BLVD","SUITE 100","AUSTIN","TX","78701",,,,,,,"741286506","5124766281","524290",,,,,,,,,,,,,,,,,,,"2018-07-20T09:42:39-0500","MARIT PETERS","2018-07-20T09:42:39-0500","MARIT PETERS",,,54,32,27,,59,,59,59,,,"2E2G2J",,"0","0","1","0","0","0","1","0","0","0","0","0","1","0",,"0","0","0","FILING_RECEIVED","2018-07-20","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,26,,,,,,,,,,
"20180720103156P030073734545001","2017-01-01","2017-12-31","2",,"0","0","0",,"0","1","0","0","0",,"NORTHERN LAKES COOPERATIVE 401(K) PLAN","002","1991-06-01","NORTHERN LAKES COOPERATIVE",,,"PO BOX 985",,"HAYWARD","WI","54843",,,,,,,"15877 W US HIGHWAY 63 S.",,"HAYWARD","WI","54843",,,,,,,"390507950","7156343211","452900",,,,,,,,,,,,,,,,,,,"2018-07-20T06:31:34-0500","NINA NELSON",,,,,73,59,0,13,72,0,72,39,3,,"2F2G2J2K2T3D2E",,,"0","1","0",,"0","1","0","1","0",,"0","1","0","0","0","0","0","FILING_RECEIVED","2018-07-20","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,61,,,,,,,,,,
