"20180411132243P040044406039001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"PAYNE & DOLAN, INC. GROUP BENEFIT PLAN","510","2016-01-01","PAYNE & DOLAN, INC.",,,"N3 W23650 BADINGER RD",,"WAUKESHA","WI","53226",,,,,,,,,,,,,,,,,,"390529300","2625241839","236200",,,,,,,,,,,,,,,,,,,"2018-04-11T13:20:23-0500","SUE MILLER",,,,,142,159,0,0,159,,,,,,,"4A4B4H","1","0","0","1","1","0","0","1","0","0","0","0","0","1","3","1","0","0","FILING_RECEIVED","2018-04-11","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,142,"2",,,,,,,,,
"20180411132525P030042925735001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"GIBBENS DRAKE SCOTT, INC. EMPLOYEE STOCK OWNERSHIP FUND","002","2007-01-01","GIBBENS DRAKE SCOTT, INC.",,,"9201 EAST 63RD STREET",,"RAYTOWN","MO","64133",,,,,,,,,,,,,,,,,,"431303814","8163581790","541330",,,,,,,,,,,,,,,,,,,"2018-04-11T13:24:31-0500","TIM L. SCOTT",,,,,31,24,7,1,32,0,32,32,1,,"2A2E3D",,"0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","FILING_RECEIVED","2018-04-11","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,25,,,,,,,,,,
"20180413133411P040000049925001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"FIBREFORM ELECTRONICS, INC. 401(K) PROFIT SHARING PLAN","002","2000-01-01","FIBREFORM ELECTRONICS, INC.",,,"5341 ARGOSY AVENUE",,"HUNTINGTON BEACH","CA","926491036",,,,,,,,,,,,,,,,,,"951986067","7148989641","332900","FIBREFORM ELECTRONICS, INC.",,"5341 ARGOSY AVENUE",,"HUNTINGTON BEACH","CA","926491036",,,,,,,"951986067","7148989641",,,,,,,,,,28,23,0,3,26,0,26,13,0,,"2E2G2J3D",,"1","0","1","0","0","0","1","0","1","0","0","0","1","1","1","0","1","0","FILING_RECEIVED","2018-04-13",,,,,,,,,,,,,,,,,,,,,,,27,,,,"2018-04-12T07:00:00-0500","TODD CROW",,,,,
"20180413133644P030000903581001","2017-01-01","2017-12-31","2",,,,,,,,,,,,"JONES PLASTIC & ENGINEERING LLC WELFARE BENEFIT PLAN","501","2015-01-01","JONES PLASTIC & ENGINEERING CO, LLC",,,"2410 PLANTSIDE DRIVE",,"JEFFERSONTOWN","KY","40299",,,,,,,,,,,,,,,,,,"610592989","5024913785","326100",,,,,,,,,,,,,,,,,,,,,,,,,573,660,,,660,,660,,,,,"4A4B4D4E4F4H","1",,,"1","1",,,"1",,,,,,"1","6",,,,"FILING_RECEIVED","2018-04-13",,,,,,"1",,,,,,,,,,,,,,,,,573,"2",,,"2018-04-13T01:00:00-0500","CHRISTY WILLIAMS",,,,,
"20180413133844P030000054757001","1989-01-01","1989-12-31","2",,"0","0","0","0","0","0","0","1","0",,"BUFFALO ROCK COMPANY GROUP HEALTH AND WELFARE PLAN","501","1988-04-01","BUFFALO ROCK COMPANY",,,"111 OXMOOR ROAD",,"BIRMINGHAM","AL","35209",,,,,,,,,,,,,,,,,,"630032365","2059444002","312110",,,,,,,,,,,,,,,,,,,,,,,,,100,100,0,0,100,,,,,,,"4A4B4D4F4H4L","1","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-04-13",,,,,,"1",,,,,,,,,,,,,,,,,100,"2",,,"2018-04-13T11:00:00-0500","KEVIN CONAWAY",,,,,
"20180413133848P040000050709001","1990-01-01","1990-12-31","2",,"0","0","0","0","0","0","0","1","0",,"BUFFALO ROCK COMPANY GROUP HEALTH AND WELFARE PLAN","501","1988-04-01","BUFFALO ROCK COMPANY",,,"111 OXMOOR ROAD",,"BIRMINGHAM","AL","35209",,,,,,,,,,,,,,,,,,"630032365","2059444002","312110",,,,,,,,,,,,,,,,,,,,,,,,,100,100,0,0,100,,,,,,,"4A4B4D4F4H4L","1","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-04-13",,,,,,"1",,,,,,,,,,,,,,,,,100,"2",,,"2018-04-13T11:00:00-0500","KEVIN CONAWAY",,,,,
"20180413133848P040000050741001","1991-01-01","1991-12-31","2",,"0","0","0","0","0","0","0","1","0",,"BUFFALO ROCK COMPANY GROUP HEALTH AND WELFARE PLAN","501","1988-04-01","BUFFALO ROCK COMPANY",,,"111 OXMOOR ROAD",,"BIRMINGHAM","AL","35209",,,,,,,,,,,,,,,,,,"630032365","2059444002","312110",,,,,,,,,,,,,,,,,,,,,,,,,100,100,0,0,100,,,,,,,"4A4B4D4F4H4L","1","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-04-13",,,,,,"1",,,,,,,,,,,,,,,,,100,"2",,,"2018-04-13T11:00:00-0500","KEVIN CONAWAY",,,,,
"20180413133850P040000050757001","1992-01-01","1992-12-31","2",,"0","0","0","0","0","0","0","1","0",,"BUFFALO ROCK COMPANY GROUP HEALTH AND WELFARE PLAN","501","1988-04-01","BUFFALO ROCK COMPANY",,,"111 OXMOOR ROAD",,"BIRMINGHAM","AL","35209",,,,,,,,,,,,,,,,,,"630032365","2059444002","312110",,,,,,,,,,,,,,,,,,,,,,,,,100,100,0,0,100,,,,,,,"4A4B4D4F4H4L","1","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-04-13",,,,,,"1",,,,,,,,,,,,,,,,,100,"2",,,"2018-04-13T11:00:00-0500","KEVIN CONAWAY",,,,,
"20180413133851P040000050773001","1994-01-01","1994-12-31","2",,"0","0","0","0","0","0","0","1","0",,"BUFFALO ROCK COMPANY GROUP HEALTH AND WELFARE PLAN","501","1988-04-01","BUFFALO ROCK COMPANY",,,"111 OXMOOR ROAD",,"BIRMINGHAM","AL","35209",,,,,,,,,,,,,,,,,,"630032365","2059444002","312110",,,,,,,,,,,,,,,,,,,,,,,,,100,100,0,0,100,,,,,,,"4A4B4D4F4H4L","1","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-04-13",,,,,,"1",,,,,,,,,,,,,,,,,100,"2",,,"2018-04-13T11:00:00-0500","KEVIN CONAWAY",,,,,
"20180413133851P040001407585001","1993-01-01","1993-12-31","2",,"0","0","0","0","0","0","0","1","0",,"BUFFALO ROCK COMPANY GROUP HEALTH AND WELFARE PLAN","501","1988-04-01","BUFFALO ROCK COMPANY",,,"111 OXMOOR ROAD",,"BIRMINGHAM","AL","35209",,,,,,,,,,,,,,,,,,"630032365","2059444002","312110",,,,,,,,,,,,,,,,,,,,,,,,,100,100,0,0,100,,,,,,,"4A4B4D4F4H4L","1","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-04-13",,,,,,"1",,,,,,,,,,,,,,,,,100,"2",,,"2018-04-13T11:00:00-0500","KEVIN CONAWAY",,,,,
