"20180730145302P030069629117001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"BRYAN COLLEGE EMPLOYEE BENEFITS PLAN","502","1992-01-01","BRYAN COLLEGE",,"ANGIE PRICE","721 BRYAN DR",,"DAYTON","TN","373216275",,,,,,,"721 BRYAN DR",,"DAYTON","TN","373216275",,,,,,,"620528217","4237757269","611000",,,,,,,,,,,,,,,,,,,"2018-07-30T14:52:07-0500","ANGIE PRICE","2018-07-30T14:52:08-0500","ANGIE PRICE",,,156,156,,,156,,156,,,,,"4A4B4D4E4H","1","0","0","1","1","0","0","1","0","0","0","0","0","1","2","0","0","0","FILING_RECEIVED","2018-07-30","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,156,"2",,,,,,,,,
"20180730145308P040098708545001","2017-01-01","2017-12-31","1",,"0","0","0","0","0","0","0","0","0",,"BLUE BEACON INTERNATIONAL, INC. EMPLOYEE CAFETERIA BENEFITS PLAN","501","1987-06-01","BLUE BEACON INTERNATIONAL, INC.",,"CHARLES T. TUTTLE","PO BOX 856",,"SALINA","KS","674020856",,,,,,,"500 GRAVES BLVD",,"SALINA","KS","67401",,,,,,,"480843137","7858252221","811190",,,,,,,,,,,,,,,,,,,"2018-07-30T14:23:29-0500","CHARLES TUTTLE",,,,,356,333,,,333,,333,,,0,,"4A","0","0","0","1","0","0","0","1","0","0","0","0","0","0",,"0","0","0","FILING_RECEIVED","2018-07-30","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,356,"2",,,,,,,,,
"20180730145318P040098709425001","2017-01-01","2017-12-31","3",,"0","0","0",,"0","1","0","0","0",,"HARTMAN & TYNER, INC. 401(K) PROFIT SHARING PLAN","001","1977-08-23","HARTMAN & TYNER, INC.",,,"24700 W. TWELVE MILE ROAD",,"SOUTHFIELD","MI","48034",,,,,,,,,,,,,,,,,,"381435702","2483522010","531110",,,,,,,,,,,,,,,,,,,"2018-07-30T10:52:59-0500","JULIE MELCHERT",,,,,658,468,3,80,551,5,556,319,11,,"2E2F2G2J2T3D2R",,,"0","1","0",,"0","1","0","1","0",,"1","0","0","0","1","1","0","FILING_RECEIVED","2018-07-30","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,575,,,,,,,,,,
"20180730145323P030069629661001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"CAFETERIA PLAN FOR EMPLOYEES OF PAIDEIA SCHOOL","501","2002-01-01","PAIDEIA SCHOOL",,,"1509 PONCE DE LEON AVE",,"ATLANTA","GA","30307",,,,,,,,,,,,,,,,,,"237089522","4042702302","611000",,,,,,,,,,,,,,,,,,,"2018-07-30T14:44:45-0500","NANCY ISOM",,,,,150,194,0,0,194,,,,,,,"4A4B4D4F4H4L","1","0","0","1","1","0","0","1","0","0","0","0","0","1","2","0","0","0","FILING_RECEIVED","2018-07-30","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,150,"2",,,,,,,,,
"20180730145326P040098709745001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"DANIEL L. BIERY, D.O. RETIREMENT PLAN","001","1984-10-01","DANIEL L. BIERY, D.O. RETIREMENT PLAN",,,"17 NEEDHAM AVENUE",,"PHELPS","NY","14532",,,,,,,,,,,,,,,,,,"161233968","3155485741","621111",,,,,,,,,,,,,,,,,,,"2018-07-30T14:53:00-0500","DANIEL BIERY","2018-07-30T14:53:00-0500","DANIEL BIERY",,,1,0,0,1,1,0,1,1,0,,"2A2E2F2G2J2K",,,,"1",,,,"1",,,,,,"1",,,,,,"FILING_RECEIVED","2018-07-30","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,0,,,,,,,,,,
"20180730153908P030091636583001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"SOMERSET WOOD PRODUCTS - BENEFITS SOMERSET WOOD PRODUCTS -LIFE PLAN","502","2002-01-01","SOMERSET HARDWOOD LUMBER, INC.",,,"P.O. BOX 991",,"BURNSIDE","KY","42519",,,,,,,,,,,,,,,,,,"010548405","6065614146","321900",,,,,,,,,,,,,,,,,,,"2018-07-30T12:16:10-0500","TIMOTHY BULLOCK","2018-07-30T12:16:10-0500","TIMOTHY BULLOCK",,,114,103,,,103,,,,,,,"4B4F4H4Q","1",,,"1","1",,,"1",,,,,,"1","1",,,,"FILING_RECEIVED","2018-07-30","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,114,"2",,,,,"SOMERSET WOOD PRODUCTS - BENEFITS SOMERSET WOOD PRODUCTS -LIFE PLAN",,,,
"20180730153911P040090837751001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"G&L MANUFACTURING INC. HEALTH AND WELFARE PLAN","502","2016-01-01","G&L MANUFACTURING INC.",,,"1975 FISK ROAD",,"COOKEVILLE","TN","38506",,,,,,,,,,,,,,,,,,"621110473","9314002773","423500",,,,,,,,,,,,,,,,,,,"2018-07-30T15:25:33-0500","MARK CONATSER",,,,,111,138,0,2,140,,,,,,,"4A4B4D4E4Q","1","0","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","FILING_RECEIVED","2018-07-30","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,111,"2",,,,,,,,,
"20180730153936P030003729721001","2017-01-01","2017-12-31","2",,"0","0","1","0","1","0","0","0","0",,"FALCON TRANSPORT CO. EMPLOYEE DISABILITY BENEFIT PLAN","502","1985-09-01","FALCON TRANSPORT CO.",,,"4944 BELMONT AVENUE",,"YOUNGSTOWN","OH","44505",,,,,,,,,,,,,,,,,,"341376177","3307931345","484120",,,,,,,,,,,,,,,,,,,"2018-07-30T15:39:17-0500","SARAH BRUGLER",,,,,590,0,0,0,0,,,,,,,"4F4H","1","0","0","0","1","0","0","0","0","0","0","0","0","1","2","0","0","0","FILING_RECEIVED","2018-07-30","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,590,"2",,,,,,,,,
"20180730153941P040003986597001","2017-01-01","2017-12-31","2",,,,,,,"1",,,,,"MT. BAKER PRODUCTS HEALTH AND WELFARE PLAN","502","2010-01-01","MT. BAKER PRODUCTS, INC.",,,"2929 ROEDER AVENUE",,"BELLINGHAM","WA","98225",,,,,,,,,,,,,,,,,,"911598765","3607333960","321210",,,,,,,,,,,,,,,,,,,,,,,,,107,113,0,0,113,,,,,,,"4A4B4D4E4L4Q","1",,,,"1",,,,,,,,,"1","3",,,,"FILING_RECEIVED","2018-07-30",,,,,,"1",,,,,,,,,,,,,,,,,107,"2",,,"2018-07-27T03:00:00-0500","KELLY METUNE",,,,,
"20180730153941P030041172911001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"NCTA 401(K) PLAN","002","1997-01-01","NCTA - THE INTERNET & TELEVISION ASSOCIATION",,,"25 MASSACHUSETTS AVE NW","SUITE 100","WASHINGTON","DC","20001",,,,,,,,,,,,,,,,,,"530222396","2022222394","517000",,,,,,,,,,,,,,,,"THE NATIONAL CABLE & TELECOMMUNICATIONS ASSOCIATION","530222396","002","2018-07-30T15:39:29-0500","WESLEY T. FOSTER",,,,,147,90,3,40,133,1,134,133,3,,"2E2F2G2J2T3D",,"0","0","1","0","0","0","1","0","1","0","0","1","0","0",,"1","1","0","FILING_RECEIVED","2018-07-30","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,106,,,,,,"NCTA 401(K) PLAN",,,,
