"20180717152255P030048643917001","2016-09-01","2017-08-31","4",,,,,,,,,,,,"TANG INDUSTRIES INC. LONG TERM DISABILITY PLAN","503","1982-04-01","TANG INDUSTRIES INC.",,,"8960 SPANISH RIDGE AVENUE",,"LAS VEGAS","NV","89148",,,,,,,,,,,,,,,,,,"362715609","7027343700","551112",,,,,,,,,,,,,,,,,,,,,,,,,1231,1228,,,1228,,1228,,,,,"4D","1",,,,"1",,,,,,,"1",,"1","1",,"1",,"FILING_RECEIVED","2018-07-17",,,,,,"1",,,,,,,,,,,,,,,,,1231,"2",,,"2018-07-17T07:00:00-0500","BENLOR RIVERA",,"2018-07-17T07:00:00-0500","BENLOR RIVERA",,
"20180717152331P040064357047001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"WALTON ELECTRIC MEMBERSHIP CORPORATION WELFARE BENEFIT PLAN","501","1999-01-01","WALTON ELECTRIC MEMBERSHIP CORPORATION",,,"P O BOX 260",,"MONROE","GA","30655",,,,,,,"842 U.S. HIGHWAY 78 NW",,"MONROE","GA","30655",,,,,,,"580477163","7702676253","221100","WALTON ELECTRIC MEMBERSHIP CORPORATION",,"P O BOX 260",,"MONROE","GA","30655",,,,,,,"580477163","7702676253",,,,"2018-07-17T15:23:07-0500","RONNIE LEE",,,,,344,379,0,0,379,,,,,,,"4A4B4D4F4H","1","0","0","0","1","0","0","0","0","0","0","0","0","1","6","1","0","0","FILING_RECEIVED","2018-07-17","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,344,"2",,,,,,,,,
"20180717152338P040069697169001","2017-01-01","2017-12-31","1",,,,,,,,,,,,"PEETS COFFEE & TEA EMPLOYEE BENEFITS","501","1994-01-01","PEETS COFFEE & TEA",,,"1400 PARK AVE.",,"EMERYVILLE","CA","946083520",,,,,,,,,,,,,,,,,,"911660507","5105942100","445299",,,,,,,,,,,,,,,,,,,,,,,,,2672,2848,26,161,3035,,,,,,,"4A4B4D4E4H4L4Q","1",,,"1","1",,,"1",,,,,,"1","2",,,,"FILING_RECEIVED","2018-07-17",,,,,,"1",,,,,,,,,,,,,,,,,2647,"2",,,"2018-07-09T03:00:00-0500","KELLY NIELSEN",,,,,
"20180717152500P030028138719001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"TRADITIONAL CHINESE MEDICINE HEALING CENTER,INC. 401K","002","2000-01-01","TRADITIONAL CHINESE MEDICINE HEALING CENTER,INC.",,,"12304 SANTA MONICA BLVD., SUITE 120",,"LOS ANGELES","CA","90025",,,,,,,,,,,,,,,,,,"954638079","3108265288","621399",,,,,,,,,,,,,,,,,,,,,,,,,11,7,0,3,10,0,10,10,2,,"2A2E2H2J3D",,"1",,"1",,"1",,"1",,,,,,"1","1","1",,,,"FILING_RECEIVED","2018-07-17",,,,,,"1",,,,,,,,,,,,,,,,,8,,,,"2018-06-22T07:00:00-0500","SHIAO TING JING",,"2018-06-22T07:00:00-0500","SHIAO TING JING",,
"20180717152505P030048647885001","2017-01-01","2017-12-31","2",,,,,,,,,,,,"DOMINIQUE HAIM CHANIN PROFIT SHARING PLAN","002","2002-01-01","DOMINIQUE CHANIN & CO. INC.",,,"C/O CONSTANTIN ASSOCIATES,LLP","575 MADISON AVE 25TH FLOOR","NEW YORK","NY","10022",,,,,,,,,,,,,,,,,,"133858755","6462307200","339900",,,,,,,,,,,,,,,,,,,"2018-07-13T16:19:25-0500","DOMINIQUE CHANIN",,,,,2,2,,,2,,2,2,,,"2E",,,,"1",,,,"1",,,,,,"1",,,,,,"FILING_RECEIVED","2018-07-17","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,2,,,,,,,,,,
"20180717152550P040002668053001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"RAINBOW USA, INC. MEDICAL PLAN","501","2006-11-01","RAINBOW USA, INC.",,,"1000 PENNSYLVANIA AVE",,"BROOKLYN","NY","11207",,,,,,,,,,,,,,,,,,"060741488","7184853000","448120",,,,,,,,,,,,,,,,"RAINBOW USA, INC.","133070879","501",,,,,,,901,764,0,0,764,,,,,,,"4A4B4D4E4F4G4H4L","1","0","0","0","1","0","0","0","0","0","0","0","0","1","10","0","0","0","FILING_RECEIVED","2018-07-17",,,,,,"1",,,,,,,,,,,,,,,,,898,"2",,,"2018-07-16T07:00:00-0500","ADIN C. GOLDBERG","RAINBOW USA, INC. MEDICAL PLAN",,,,
"20180717170127P030028160639001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"AMERICAN INCORPORATED HEALTH & WELFARE PLAN","501","2003-08-01","AMERICAN INCORPORATED",,,"1345 N. AMERICAN STREET",,"VISALIA","CA","93291",,,,,,,"1345 N. AMERICAN STREET",,"VISALIA","CA","93291",,,,,,,"942233668","5596511776","238220",,,,,,,,,,,,,,,,,,,,,,,,,322,321,0,0,321,,,,,,,"4A4B4D4E","1","0","0","0","1","0","0","0","0","0","0","0","0","1","2","0","0","0","FILING_RECEIVED","2018-07-17",,,,,,"1",,,,,,,,,,,,,,,,,322,"2",,,"2018-07-13T07:00:00-0500","FRANK SAUCEDO",,"2018-07-13T07:00:00-0500","FRANK SAUCEDO",,
"20180717081053P030065229681001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"ZEFERINO J. ARROYO, LLC 401(K) PROFIT SHARING PLAN AND TRUST","001","2005-01-01","ZEFERINO J ARROYO, LLC",,,"311 EAST SPRUCE STREET","SUITE 3B--SURGICAL","GARDEN CITY","KS","67846",,,,,,,,,,,,,,,,,,"202140614","6202753740","621111",,,,,,,,,,,,,,,,,,,"2018-07-17T08:10:27-0500","ZEFERINO ARROYO","2018-07-17T08:10:27-0500","ZEFERINO ARROYO",,,5,4,0,1,5,0,5,5,0,,"2A2E2H2J2T3D",,"0","0","1","0","0","0","1","0","1","0","0","0","1","0",,"0","1","0","FILING_RECEIVED","2018-07-17","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,5,,,,,,,,,,
"20180717081054P030065229777001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"VELUX GREENWOOD INC. - DENTAL PLAN","510","2007-01-01","VELUX GREENWOOD INC.",,,"POST OFFICE BOX 5001",,"GREENWOOD","SC","29648",,,,,,,,,,,,,,,,,,"570681681","8649414700","321900",,,,,,,,,,,,,,,,,,,"2018-07-17T08:10:19-0500","KEITH POLATTY",,,,,436,446,0,0,446,,,,,,,"4D","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-07-17","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,436,"2",,,,,,,,,
"20180717081120P040002613237001","2017-01-01","2017-12-31","2",,,,,,,"1",,,,,"SEVENSON ENVIRONMENTAL SERVICES, INC. 401(K) PROFIT SHARING PLAN","002","1987-01-01","SEVENSON ENVIRONMENTAL SERVICES, INC.",,,"2749 LOCKPORT ROAD",,"NIAGARA FALLS","NY","14305",,,,,,,,,,,,,,,,,,"160997941","7162840431","562000",,,,,,,,,,,,,,,,,,,"2018-07-17T09:10:18-0500","LYNNE D. MUELLER",,,,,412,248,0,46,294,3,297,296,4,,"2E2F2G2J2K2T3D3H",,,,"1",,,,"1",,"1",,,"1",,,,"1","1",,"FILING_RECEIVED","2018-07-17","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,356,,,,,,,,,,
