"20180711164023P030054369377001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"HEALTH BENEFITS PLAN FOR THE EMPLOYEES OF DAVIDSON COMPANIES AND ITS SUBSIDIARIES","501","1989-06-01","DAVIDSON COMPANIES, INC.",,,"8 THIRD STREET NORTH",,"GREAT FALLS","MT","59403",,,,,,,,,,,,,,,,,,"810439153","4067274200","523120",,,,,,,,,,,,,,,,,,,"2018-07-11T16:40:10-0500","RANEE CHEW-HOPKINS",,,,,940,925,17,0,942,,,,,,,"4A4B4D4E4H4Q","1","0","0","1","1","0","0","1","0","0","0","0","0","1","7","0","0","0","FILING_RECEIVED","2018-07-11","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,921,"2",,,,,,,,,
"20180711164040P030054369793001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"IRVINE COMPANY GROUP HEALTH AND WELFARE PLAN","501","1967-10-01","IRVINE COMPANY",,,"550 NEWPORT CENTER DRIVE",,"NEWPORT BEACH","CA","92660",,,,,,,,,,,,,,,,,,"133177751","9497202525","531120",,,,,,,,,,,,,,,,,,,,,,,,,4486,3974,61,0,4035,,,,,,,"4A4B4D4E4F4H4L4Q","1","0","0","1","1","0","0","1","0","0","0","0","0","1","8","0","0","0","FILING_RECEIVED","2018-07-11",,,,,,"1",,,,,,,,,,,,,,,,,4486,"2",,,"2018-07-06T07:00:00-0500","MARK R. GRAY",,,,,
"20180711164316P030052046311001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"FLASH AVIATION ENTERPRISES RETIREMENT PLAN","001","2011-03-28","FLASH AVIATION ENTERPRISES, INC.",,,"6251 SAN MATEO DRIVE",,"COLORADO SPRINGS","CO","80911",,,,,,,,,,,,,,,,,,"451147469","7195301610","493100",,,,,,,,,,,,,,,,,,,"2018-07-11T16:41:52-0500","ANDY A. LASHER",,,,,1,1,0,0,1,0,1,1,0,,"2E2F2G2J2K3D",,"0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","FILING_RECEIVED","2018-07-11","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,1,,,,,,,,,,
"20180711164325P030052046679001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"SEA RESEARCH FOUNDATION, INC. GROUP LIFE INSURANCE EMPLOYEE BENEFIT PLAN","501","1997-03-01","SEA RESEARCH FOUNDATION, INC.",,,"55 COOGAN BOULEVARD",,"MYSTIC","CT","06355",,,,,,,,,,,,,,,,,,"061480300","8605725955","813000",,,,,,,,,,,,,,,,,,,,,,,,,144,152,2,0,154,,,,,,,"4A4B4D4E4F4H4L4Q","1","0","0","0","1","0","0","0","0","0","0","0","0","1","7","0","0","0","FILING_RECEIVED","2018-07-11",,,,,,"1",,,,,,,,,,,,,,,,,142,"2",,,"2018-07-11T07:00:00-0500","PAT BOND",,,,,
"20180711164355P040002102853001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"MUSCO FAMILY OLIVE PRODUCTS, INC. WELFARE BENEFITS PLAN","501","2001-01-01","MUSCO FAMILY OLIVE PRODUCTS, INC.",,,"17950 VIA NICOLO",,"TRACY","CA","95377",,,,,,,,,,,,,,,,,,"941489230","2098364600","311400",,,,,,,,,,,,,,,,,,,"2018-07-11T14:39:56-0500","JANET MITCHELL",,,,,259,240,1,0,241,,,,,,,"4A4B4D4E4H","0","0","0","1","1","0","0","1","0","0","0","0","0","1","3","0","0","0","FILING_RECEIVED","2018-07-11","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,259,"2",,,,,,,,,
"20180711164358P040056354833001","2017-01-01","2017-12-31","2",,"1","0","0","0","0","0","0","0","0",,"DATUM INSPECTION SERVICES, INC. 401K PLAN","001","2006-05-01","DATUM INSPECTION SERVICES, INC.",,"MYRONTOMLINSON","21442 N 20TH AVE",,"PHOENIX","AZ","850272612",,,,,,,"21442 N 20TH AVE",,"PHOENIX","AZ","850272612",,,,,,,"352223175","6238698200","541330",,,,,,,,,,,,,,,,,,,"2018-07-11T16:41:46-0500","REJI TOMLINSON",,,,,3,2,,,2,1,3,3,0,,"2G",,"0","0","1","0","0","0","1","0","1","0","0","0","1","0",,"0","0","0","FILING_RECEIVED","2018-07-11","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,3,,,,,,,,,,
"20180711164415P040056355377001","2017-01-01","2017-12-31","3",,"0","0","0","0","0","0","0","0","0",,"PIONEER OIL COMPANY, INC.","501","2014-06-01","PIONEER OIL COMPANY, INC.",,,"400 MAIN STREET","PO BOX 237","VINCENNES","IN","47591",,,,,,,,,,,,,,,,,,"351448822","8124942800","211110",,,,,,,,,,,,,,,,,,,"2018-07-11T16:43:32-0500","GREGGORY S. BURSON",,,,,124,213,0,0,213,,,,,,,"4A4B4Q","1","0","0","1","1","0","0","1","0","0","0","0","0","1","2","1","0","0","FILING_RECEIVED","2018-07-11","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,123,"2",,,,,,,,,
"20180711164420P040002102885001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"HOMESTRETCH, INC. EMPLOYEE BENEFIT PLAN","503","2010-01-01","HOMESTRETCH, INC.",,,"146 FURNITURE DRIVE",,"NETTLETON","MS","38858",,,,,,,,,,,,,,,,,,"464196597","6629632494","337000","HOMESTRETCH, INC",,"146 FURNITURE DRIVE",,"NETTLETON","MS","38858",,,,,,,"464196597","6629632494",,,,,,,,,,355,405,0,0,405,,,,,,,"4A4B4D4E4H4Q","1","0","0","1","1","0","0","1","0","0","0","0","0","1","4","1","0","0","FILING_RECEIVED","2018-07-11",,,,,,,,,,,,,,,,,,,,,,,355,"2",,,"2018-07-11T07:00:00-0500","WILLIAM G HOLLIMAN",,"2018-07-11T07:00:00-0500","WILLIAM G HOLLIMAN",,
"20180711164505P040056357665001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"LAKES REGION GENERAL HOSPITAL INSURANCE PLAN","504","1992-01-01","LRGHEALTHCARE",,,"80 HIGHLAND STREET",,"LACONIA","NH","03246",,,,,,,,,,,,,,,,,,"020222150","6035272871","622000",,,,,,,,,,,,,,,,,,,,,,,,,962,971,11,0,982,,,,,,,"4A4D","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","FILING_RECEIVED","2018-07-11",,,,,,"1",,,,,,,,,,,,,,,,,911,"2",,,"2018-06-25T07:00:00-0500","WAYNE BENNETT",,,,,
"20180711191739P040052658775001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"TEXAS DIGESTIVE DISEASE CONSULTANTS LTD PLAN","501","2010-01-01","TEXAS DIGESTIVE DISEASE CONSULTANTS",,,"8267 ELMBROOK DRIVE",,"DALLAS","TX","75247",,,,,,,,,,,,,,,,,,"752005254","2144242228","621111","TEXAS DIGESTIVE DISEASE CONSULTANTS",,"8267 ELMBROOK DRIVE",,"DALLAS","TX","75247",,,,,,,"752005254","2144242228",,,,"2018-07-11T19:16:56-0500","PEGGY SEILER",,,,,520,698,0,0,698,,,,,,,"4H","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-07-11","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,520,"2",,,,,,,,,
