"20180801112305P040067960589001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"COTTON INCORPORATED PENSION PLAN","001","1971-01-01","COTTON INCORPORATED",,"DAVID N. BYRD","6399 WESTON PARKWAY",,"CARY","NC","27513",,,,,,,,,,,,,,,,,,"620786018","9196782256","813000",,,,,,,,,,,,,,,,,,,"2018-08-01T11:21:30-0500","DAVID BYRD",,,,,181,109,39,26,174,5,179,0,3,,"1A",,"0","0","1","0","0","0","1","0","1","0","1","1","0","0","0","1","1","0","FILING_RECEIVED","2018-08-01","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,112,,,,,,,,,,
"20180801112543P040004191781001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"SMITH POWER PRODUCTS INC. LIFE INSURANCE PLAN","502","2014-12-01","SMITH POWER PRODUCTS INC.",,,"3065 CALIFORNIA AVENUE",,"SALT LAKE CITY","UT","841044586",,,,,,,,,,,,,,,,,,"870253588","8014155001","811310",,,,,,,,,,,,,,,,,,,"2018-08-01T11:21:53-0500","BRENT SANDBERG",,,,,259,264,0,0,264,,,,,,,"4B4F4H","1","0","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","FILING_RECEIVED","2018-08-01","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,259,"2",,,,,,,,,
"20180801112548P040004191797001","2012-01-01","2012-12-31","2",,"0","1","0","0","0","0","0","0","0",,"CDM CAFETERIA PLAN","508","1989-01-01","CDM SMITH INC.",,,"ONE CAMBRIDGE PLACE","50 HAMPSHIRE STREET","CAMBRIDGE","MA","02139",,,,,,,,,,,,,,,,,,"042473650","6174526000","541330",,,,,,,,,,,,,,,,,,,,,,,,,3685,3685,104,32,3821,,,,,,,"4A4B4D4E4F4G4H4L4Q","1","0","0","1","1","0","0","1","0","0","0","0","0","1","13","0","0","0","FILING_RECEIVED","2018-08-01",,,,,,"1",,,,,,,,,,,,,,,,,3685,"2",,,"2018-07-24T07:00:00-0500","MARIA MASTRANGELO",,,,,
"20180801112602P030095696455001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"COMMUNITY SAVINGS 401(K) PLAN","003","1995-03-01","COMMUNITY SAVINGS",,,"425 MAIN STREET",,"CALDWELL","OH","43724",,,,,,,,,,,,,,,,,,"314140480","7407325678","522120","PENTEGRA SERVICES, INC.",,"701 WESTCHESTER AVENUE","SUITE 320E","WHITE PLAINS","NY","10604",,,,,,,"133745616","8008723473",,,,"2018-08-01T11:25:37-0500","URVASHI JONES",,,,,8,5,0,0,5,0,5,5,0,,"2E2F2G2J2K2T3D",,"0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","FILING_RECEIVED","2018-08-01","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
"20180801112725P040094761479001","2017-01-01","2017-12-31","2",,"0","0","0",,"0","1","0","0","0",,"JOBTARGET 401K PLAN","001","2007-01-01","JOBTARGET LLC",,,"15 THAMES STREET","2ND FLOOR","GROTON","CT","06340",,,,,,,,,,,,,,,,,,"100001281","8604400635","518210",,,,,,,,,,,,,,,,,,,"2018-08-01T07:27:07-0500","RACHEL SYPHER",,,,,65,40,0,25,65,0,65,53,0,,"2F2G2J2K2T3D3H",,,"0","1","0",,"0","1","0","1","0",,"0","1","0","0","0","0","0","FILING_RECEIVED","2018-08-01","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,37,,,,,,,,,,
"20180801112834P030100663825001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"GIT FIT BLOOMFIELD, INC. 401(K) PLAN","001","2015-06-20","GIT FIT BLOOMFIELD, INC.",,,"12 ROAD 4903",,"BLOOMFIELD","NM","87413",,,,,,,,,,,,,,,,,,"474366642","5053304841","713900",,,,,,,,,,,,,,,,,,,"2018-08-01T11:28:12-0500","NANCY S LASSTER","2018-08-01T11:28:12-0500","NANCY S LASSTER",,,1,1,0,0,1,0,1,1,0,,"2E2F2G2J2K3D",,"0","0","1","0","0","0","1","0","0","0","0","0","1","0",,"0","0","0","FILING_RECEIVED","2018-08-01","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,1,,,,,,,,,,
"20180801171112P030072810349001","2017-01-01","2017-12-31","2",,"1","1","0","0","0","0","0","0","0",,"NORTHWEST MISSOURI REGIONAL COUNCIL OF GOVERNMENTS","501","1995-07-01","NORTHWEST MISSOURI REGIONAL COUNCIL OF GOVERNMENTS","NORTHWEST MISSOURI REGIONAL COUNCIL OF GOVERNMENTS",,"114 W 3RD ST",,"MARYVILLE","MO","644682237",,,,,,,"114 W 3RD ST",,"MARYVILLE","MO","644682237",,,,,,,"430984828","6605825121","813000",,,,,,,,,,,,,,,,,,,"2018-08-01T17:09:29-0500","ALICE SCHIEFFER","2018-08-01T17:09:30-0500","ALICE SCHIEFFER",,,6,4,,,4,,4,,,,,"4A4D4E4F4H4L","0","0","0","1","0","0","0","1","0","0","0","0","1","0",,"0","0","0","FILING_RECEIVED","2018-08-01","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,6,"2",,,,,,,,,
"20180801171616P040068219709001","2017-06-01","2018-05-31","2",,"0","0","0","0","0","0","0","0","0",,"VIC'S PROFIT SHARING PLAN","002","1983-06-01","VIC'S CRANE & HEAVY HAUL, INC.",,,"3000 145TH STREET EAST",,"ROSEMOUNT","MN","55068",,,,,,,,,,,,,,,,,,"411423440","6514232317","238900",,,,,,,,,,,,,,,,,,,"2018-08-01T13:16:01-0500","JAMES DUTCHER",,,,,40,30,0,7,37,0,37,33,3,,"2E2F2G2J2K2R2T3D",,"0","0","1","0","0","0","1","0","1","0",,"0","1","0",,"0","0","0","FILING_RECEIVED","2018-08-01","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,34,,,,,,,,,,
"20180801171855P030043464463001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"HUSCH BLACKWELL LLP 401(K) PLAN","001","1978-01-01","HUSCH BLACKWELL LLP",,,"4801 MAIN STREET","SUITE 1000","KANSAS CITY","MO","64112",,,,,,,,,,,,,,,,,,"261688286","8169838000","541110",,,,,,,,,,,,,,,,,,,"2018-08-01T13:05:37-0500","BRET CHAPMAN",,,,,1395,1148,12,321,1481,0,1481,1462,0,,"2A2E2F2G2J2R2T3B3D",,"0","0","1","0","0","0","1","0","1","0",,"1","0","0",,"1","1","0","FILING_RECEIVED","2018-08-01","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,1098,,,,,,,,,,
"20180801172531P040103818529001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"SCHOCK CONTRACTING CORPORATION INSURANCE PROGRAM","501","2008-01-01","SCHOCK CONTRACTING CORPORATION",,,"P.O. BOX 61505",,"SANTA BARBARA","CA","931601505",,,,,,,,,,,,,,,,,,"330761822","8056819796","238220",,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,4,,,,,,,"4A4D4E","1","0","1","0","1","0","1","0","0","0","0","0","1","1","3","0","0","0","FILING_RECEIVED","2018-08-01",,,,,,"1",,,,,,,,,,,,,,,,,5,"2",,,"2018-07-30T23:00:00-0500","JOHN SCHOCK",,,,,
