"20180718144523P030066543943001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"ALLIED ELECTRONICS, INC. WELFARE BENEFIT PLAN","501","2002-01-01","ALLIED ELECTRONICS, INC.",,,"7151 JACK NEWELL BLVD. S",,"FORT WORTH","TX","76118",,,,,,,,,,,,,,,,,,"752110357","8175953500","454110",,,,,,,,,,,,,,,,,,,"2018-07-18T14:42:40-0500","PATTI CROZIER",,,,,780,831,0,0,831,,,,,,,"4A4B4D4E4F4H4L4Q","1","0","0","1","1","0","0","1","0","0","0","0","0","1","3","0","0","0","FILING_RECEIVED","2018-07-18","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,780,"2",,,,,,,,,
"20180718144527P030066544119001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"CARTMELL HOME OCCUPATIONAL INJURY BENEFIT PLAN","502","1994-04-01","CARTMELL HOME FOR AGED",,,"2212 W REAGAN ST",,"PALESTINE","TX","758012222",,,,,,,"2212 W REAGAN ST",,"PALESTINE","TX","758012222",,,,,,,"750869320","9037278500","623000",,,,,,,,,,,,,,,,,,,,,,,,,210,210,,,210,,210,,,,,"4A4B4F4H4L","0","0","0","1","1","0","0","1","0","0","0","0","0","1","2","0","0","0","FILING_RECEIVED","2018-07-18",,,,,,"1",,,,,,,,,,,,,,,,,202,"2",,,"2018-07-18T00:00:00-0500","TIM KOZIK",,"2018-07-18T00:00:00-0500","TIM KOZIK",,
"20180718144628P030066548103001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"SEATTLE BANK PROFIT SHARING & SALARY DEFERRAL PLAN","001","1960-07-01","SEATTLE BANK",,,"600 UNIVERSITY STREET","SUITE 1850","SEATTLE","WA","981011129",,,,,,,,,,,,,,,,,,"911984151","2065687803","522110","SEATTLE BANK",,"600 UNIVERSITY STREET","SUITE 1850","SEATTLE","WA","981011129",,,,,,,"911984151","2065687803",,,,"2018-07-18T14:40:07-0500","ROBIN SKEEN",,,,,122,34,0,86,120,0,120,120,0,,"2E2G2J2K2F",,"0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","1","0","0","FILING_RECEIVED","2018-07-18","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,
"20180718161356P040072014609001","2017-01-01","2017-12-31","2",,,,,,,,,,,,"KAISER GROUP, INC. 401(K) SAVINGS PLAN","001","1989-07-01","KAISER GROUP, INC.",,,"237 SOUTH STREET",,"WAUKESHA","WI","53186",,,,,,,,,,,,,,,,,,"391354364","2625444971","561300",,,,,,,,,,,,,,,,,,,"2018-07-18T17:13:38-0500","SHERRY DAWSON",,,,,483,291,0,63,354,0,354,227,0,,"2E2F2G2J2K2T3D3H",,"1",,"1",,,,"1",,"1",,,"1",,"1","1","1","1",,"FILING_RECEIVED","2018-07-18","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,384,,,,,,,,,,
"20180718153708P030068772401001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"STANADYNE LLC VOLUNTARY ACCIDENT AND ILLNESS PLAN","654","2015-01-01","STANADYNE LLC",,,"92 DEERFIELD RD",,"WINDSOR","CT","060954209",,,,,,,"92 DEERFIELD RD",,"WINDSOR","CT","060954209",,,,,,,"222940378","8605250821","333610",,,,,,,,,,,,,,,,,,,"2018-07-18T15:25:40-0500","STEPHEN LANGIN",,,,,309,268,,,268,,268,,,,,"4F","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-07-18","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,309,"2",,,,,,,,,
"20180718182142P040065944439001","2017-07-01","2017-12-31","2",,"0","0","0","1","0","1","0","0","0",,"BLUE AVIAN ENTERPRISES, INC 401(K) PLAN","001","2016-09-30","BLUE AVIAN ENTERPRISES, INC",,,"1903 PEACHTREE LN",,"RICHLAND","WA","99352",,,,,,,,,,,,,,,,,,"814044544","8438649763","424930",,,,,,,,,,,,,,,,,,,"2018-07-18T18:21:06-0500","HANNA GOSS","2018-07-18T18:21:06-0500","HANNA GOSS",,,1,1,0,0,1,0,1,1,0,,"2E2F2G2J2K2R3D",,"0","0","1","0","0","0","1","0","0","0","0","0","1","0",,"0","0","0","FILING_RECEIVED","2018-07-18","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,1,,,,,,,,,,
"20180718182244P030050182125001","2017-01-01","2017-12-31","2",,"1","0","0","0","0","0","0","0","0",,"BENQ AMERICA CORP. HEALTH & WELFARE PLAN","501","1997-10-01","BENQ AMERICA CORP.",,,"3200 PARK CENTER DR, SUITE 150",,"COSTA MESA","CA","92626",,,,,,,,,,,,,,,,,,"770467457","7145594955","423400",,,,,,,,,,,,,,,,,,,"2018-07-18T18:22:01-0500","ELLIN LEE","2018-07-18T18:22:01-0500","ELLIN LEE",,,122,111,2,0,113,,,,,,,"4A4B4D4E4F4H4Q","1","0","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","FILING_RECEIVED","2018-07-18","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,120,"2",,,,,,,,,
"20180718182429P040065949495001","2017-01-01","2017-12-31","2",,"1","0","0","0","0","0","0","0","0",,"IDAHO YOUTH RANCH - VISION PLAN","504","2017-01-01","IDAHO YOUTH RANCH",,,"5465 W IRVING ST",,"BOISE","ID","837061213",,,,,,,"5465 W IRVING ST",,"BOISE","ID","837061213",,,,,,,"820253346","2083772613","624100","METROPOLITAN LIFE INSURANCE COMPANY",,"501 US HIGHWAY 22",,"BRIDGEWATER","NJ","088072441",,,,,,,"135581829","6308207318",,,,"2018-07-18T18:24:01-0500","MELANIE ONEILL",,,,,175,189,,,189,,189,,,,,"4D","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","FILING_RECEIVED","2018-07-18","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,175,"2","2",,,,,,,,
"20180718182726P030067024791001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"MAHMOUD M. WAHBA, MD, PA WELFARE BENEFIT PLAN","501","2005-01-01","MAHMOUD M. WAHBA, MD, PA",,,"P O BOX 25833",,"SHAWNEE MISSION","KS","66225",,,,,,,,,,,,,,,,,,"481204922","8169410145","621111","BENEFIT STRATEGIES GROUP, LLC",,"5957 S. REDWOOD RD., STE. 200",,"SALT LAKE CITY","UT","84123",,,,,,,"203408157","8012648887",,,,"2018-07-18T18:27:24-0500","BENEFIT STRATEGIES GROUP, LLC",,,,,1,1,0,0,1,,,,,,,"4A","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","FILING_RECEIVED","2018-07-18","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,1,"2",,,,,,,,,
"20180718182912P030067026359001","2017-01-01","2017-12-31","2",,"0","0","1","0","0","0","0","0","0",,"NEW MEXICO HEART INSTITUTE, P.A. GROUP TERM LIFE AND DISABILITY PLAN","502","1995-06-01","NEW MEXICO HEART INSTITUTE, P.A.",,,"502 ELM STREET NE",,"ALBUQUERQUE","NM","87102",,,,,,,,,,,,,,,,,,"850424076","5058411000","621111",,,,,,,,,,,,,,,,,,,"2018-07-18T18:29:00-0500","SEAN P MAZER",,,,,193,194,0,0,194,,,,,,,"4B4F4H4Q","1","0","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","FILING_RECEIVED","2018-07-18","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,193,"2",,,,,,,,,
