"20180726135557P040090573057001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"RIVER WEALTH ADVISORS LLC RETIREMENT PLAN","001","2015-01-01","RIVER WEALTH ADVISORS LLC",,,"3401 NORTH FRONT STREET, SUITE 303",,"HARRISBURG","PA","17110",,,,,,,,,,,,,,,,,,"472105957","7178889830","523210","RIVER WEALTH ADVISORS LLC",,"3401 NORTH FRONT STREET, SUITE 303",,"HARRISBURG","PA","17110",,,,,,,"472105957","7178889830",,,,,,,,,,6,6,0,1,7,0,7,7,0,,"2E2G2J2K2R3D",,"0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","FILING_RECEIVED","2018-07-26",,,,,,,,,,,,,,,,,,,,,,,6,,,,"2018-07-25T07:00:00-0500","ROBERT E. CAPLAN",,,,,
"20180726135607P040003569317001","2008-07-01","2009-06-30","2",,"0","0","0","0","1","0","0","1","0",,"QUAKER ALLOY, INC. 401K PROFIT SHARING PLAN FOR UNION EMPLOYEES","001","1994-06-01","QUAKER ALLOY, INC.",,,"C/O ERLENE W. KRIGEL, TRUSTEE","4520 MAIN ST, STE 700","KANSAS CITY","MO","64111",,,,,,,,,,,,,,,,,,"251732845","8167565800","332900",,,,,,,,,,,,,,,,,,,,,,,,,50,0,0,50,50,0,50,50,0,,"2E2F2G2J2K3E3H",,"1","0","1","0","1","0","1","0","1","0","0","0","1","1","1","0","0","0","FILING_RECEIVED","2018-07-26",,,,,,"1",,,,,,,,,,,,,,,,,0,,,,"2018-06-26T07:00:00-0500","ERLENE KRIGEL, BANKRUPTCY TRUSTEE",,,,,
"20180726135608P040003569333001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"EARTH FRIENDLY PRODUCTS 401(K) PLAN","001","1996-01-01","VENUS LABORATORIES, INC. DBA EARTH FRIENDLY PRODUCTS",,,"111 S. ROHLWING RD",,"ADDISON","IL","60101",,,,,,,,,,,,,,,,,,"362605811","6305951900","325600",,,,,,,,,,,,,,,,,,,"2018-07-26T13:55:48-0500","GLADYS BEBER","2018-07-26T13:55:48-0500","GLADYS BEBER",,,313,231,0,69,300,0,300,201,0,,"2E2G2J3D3F",,"1","0","1","0","1","0","1","0","1","0","0","1","0","1","1","1","1","0","FILING_RECEIVED","2018-07-26","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,250,,,,,,,,,,
"20180726135610P030087473185001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"CROWN POLY, INC. 401(K) PLAN","001","1995-01-01","CROWN POLY, INC.",,,"5700 BICKETT ST.",,"HUNTINGTON PARK","CA","90255",,,,,,,,,,,,,,,,,,"954343903","3235855522","326100",,,,,,,,,,,,,,,,,,,"2018-07-26T13:56:00-0500","BERTHA PADILLA",,,,,320,301,0,23,324,0,324,291,2,,"2E2F2G2J2K2S2T3B3D",,"1","0","1","0","0","0","1","0","1","0","0","1","0","1","1","1","1","0","FILING_RECEIVED","2018-07-26","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,307,,,,,,,,,,
"20180726135613P040040654415001","2017-10-01","2017-12-31","2",,"0","0","0","1","0","0","0","0","0",,"B.A.H. EXPRESS, INC. HEALTH AND WELFARE PLAN","503","2013-10-01","B.A.H. EXPRESS, INC.",,,"P.O. BOX 16862",,"ATLANTA","GA","30321",,,,,,,,,,,,,,,,,,"581923020","4046081300","484110",,,,,,,,,,,,,,,,,,,"2018-07-26T13:54:39-0500","KATHY HEMMINGS",,,,,219,169,0,0,169,,,,,,,"4A4B4D4E4Q","1","0","0","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","FILING_RECEIVED","2018-07-26","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,219,"2",,,,,,,,,
"20180726142858P030062475949001","2017-01-01","2017-12-31","2",,"0","1","0","0","0","0","0","0","0",,"WICK BUILDINGS HEALTH & WELFARE PLAN","501","2010-03-01","WICK BUILDINGS, INC.",,,"PO BOX 38",,"MAZOMANIE","WI","535600038",,,,,,,"405 WALTER ROAD",,"MAZOMANIE","WI","53560",,,,,,,"271791015","6087952294","236200",,,,,,,,,,,,,,,,,,,"2018-07-26T14:28:40-0500","JACOB KRAUS","2018-07-26T14:28:40-0500","JACOB KRAUS",,,13,146,7,,153,,153,,,,,"4A4B4D4E4F4H","1","0","0","0","1","0","0","0","0","0","0","0","0","1","7","0","0","0","FILING_RECEIVED","2018-07-26","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,163,,,,,,,,,,
"20180726142956P030062476285001","2017-04-03","2017-12-31","2",,"1",,,"1",,"1",,,,,"VAN EBERLE ENTERPRISES INC. RETIREMENT PLAN","001","2017-04-03","VAN EBERLE ENTERPRISES INC.",,,"97 STONEY LICK ROAD",,"MARTINSBURG","WV","25403",,,,,,,,,,,,,,,,,,"821059204","3046160454","238300",,,,,,,,,,,,,,,,,,,"2018-07-26T15:29:24-0500","LAURENCE A. EBERLE",,,,,2,2,0,0,2,0,2,1,0,,"2E2G2R3D",,,,"1",,,,"1",,,,,,"1",,,,,,"FILING_RECEIVED","2018-07-26","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,2,,,,,,,,,,
"20180726143010P030062476461009","2017-01-01","2017-12-31","2",,,,,,,,,,,,"N KOHL GROCER CO INC LIFE INSURANCE","502","2006-01-01","N. KOHL GROCER CO., INC.",,,"PO BOX 1129",,"QUINCY","IL","623061129",,,,,,,,,,,,,,,,,,"370370260","2172225000","424400",,,,,,,,,,,,,,,,,,,"2018-07-26T13:59:14-0500","RICHARD M EHRHART",,,,,368,368,0,0,368,,,,,,,"4B4L4Q","1",,,,"1",,,,,,,,,"1","1",,,,"FILING_RECEIVED","2018-07-26","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,368,"2",,,,,,,,,
"20180726143010P030062476461006","2017-01-01","2017-12-31","2",,,,,,,,,,,,"N KOHL GROCER CO INC VISION INSURANCE","504","2005-02-01","N. KOHL GROCER CO., INC.",,,"PO BOX 1129",,"QUINCY","IL","623061129",,,,,,,,,,,,,,,,,,"370370260","2172225000","424400",,,,,,,,,,,,,,,,,,,"2018-07-26T13:57:35-0500","RICHARD M EHRHART",,,,,290,267,1,0,268,,,,,,,"4E","1",,,,"1",,,,,,,,,"1","1",,,,"FILING_RECEIVED","2018-07-26","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,290,"2",,,,,,,,,
"20180726143010P030062476461007","2017-01-01","2017-12-31","2",,,,,,,,,,,,"N KOHL GROCER CO INC EMPLOYEE BENEFIT PLAN","501","2006-01-01","N. KOHL GROCER CO., INC.",,,"PO BOX 1129",,"QUINCY","IL","623061129",,,,,,,,,,,,,,,,,,"370370260","2172225000","424400",,,,,,,,,,,,,,,,,,,"2018-07-26T13:58:17-0500","RICHARD M EHRHART",,,,,329,317,0,0,317,,,,,,,"4A4D","1",,,,"1",,,,,,,,,"1","1","1",,,"FILING_RECEIVED","2018-07-26","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,329,"2",,,,,,,,,
