"20180608103233P040124879457001","2017-01-01","2017-12-31","2",,"0","0","0",,"0","1","0","0","0",,"TOBAR, INC. 401(K) PROFIT SHARING RETIREMENT PLAN","001","1988-07-01","TOBAR, INC.",,,"PO BOX 1907",,"COLUMBUS","IN","47201",,,,,,,"3315 SCOTT DRIVE",,"COLUMBUS","IN","47201",,,,,,,"351689383","8123750400","423990",,,,,,,,,,,,,,,,,,,"2018-06-07T09:33:02-0500","BARBARA SCHOELLKOPF",,,,,20,18,0,2,20,0,20,20,1,,"2E2F2G2J2T3D",,,"0","1","0",,"0","1","0","1","0",,"0","1","0","0","0","0","0","FILING_RECEIVED","2018-06-08","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,19,,,,,,,,,,
"20180608103516P040115288631001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"E D S A EMPLOYEE SAVINGS AND PROFIT SHARING PLAN","001","1972-02-01","EDSA, INC.",,,"1512 EAST BROWARD, SUITE 110",,"FT. LAUDERDALE","FL","33301",,,,,,,,,,,,,,,,,,"591265229","9545243330","541320",,,,,,,,,,,,,,,,,,,"2018-06-08T06:34:54-0500","JOAQUIN VENDRELL",,,,,175,113,1,63,177,0,177,176,8,,"2F2G2J2K2T3D2E",,"0","0","1","0","0","0","1","0","1","0",,"1","0","0",,"1","0","0","FILING_RECEIVED","2018-06-08","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,113,,,,,,,,,,
"20180608103544P030122019761001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"CABANISS LAW 401(K) RETIREMENT PLAN","001","2011-01-01","CABANISS LAW",,,"839 N. JEFFERSON, STE 400",,"MILWAUKEE","WI","53202",,,,,,,,,,,,,,,,,,"391823476","4142209211","541110",,,,,,,,,,,,,,,,,,,"2018-06-08T10:34:01-0500","JOHN CABANISS",,,,,2,2,0,0,2,0,2,2,0,,"2E2J2K2F2G2R3D2T2A3B",,"0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","FILING_RECEIVED","2018-06-08","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,2,,,,,,,,,,
"20180608103635P040115291287001","2017-01-01","2017-12-31","2",,"0","0","1","0","0","0","0","0","0",,"J. M. LALLY, D.D.S., LTD. PROFIT SHARING PLAN","001","1979-11-01","J. M. LALLY, D.D.S., LTD.",,,"601 NORTH 2ND STREET",,"MCGEHEE","AR","71654",,,,,,,,,,,,,,,,,,"710489991","8702223926","621210",,,,,,,,,,,,,,,,,,,"2018-06-07T15:09:51-0500","J.M. LALLY",,,,,2,0,,,0,,0,,,,"2A2E2F2G2J2K",,"0","0","1","0","0","0","1","0","0","0","0","0","1","0",,"0","0","0","FILING_RECEIVED","2018-06-08","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,2,,,,,,,,,,
"20180608103738P030122024305001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"ACTION PLASTICS, INC. 401(K) PROFIT SHARING PLAN & TRUST","001","1984-12-01","ACTION PLASTICS, INC.",,,"14720 MAIN STREET",,"ROGERS","MN","553749416",,,,,,,,,,,,,,,,,,"411396211","7634284900","326100",,,,,,,,,,,,,,,,,,,,,,,,,31,28,0,4,32,0,32,32,1,,"2E2F2G2J2K3D2S",,"1","0","1","0","1","0","1","0","1","0","0","0","1","1","1","0","1","0","FILING_RECEIVED","2018-06-08",,,,,,"1",,,,,,,,,,,,,,,,,25,,,,"2018-06-07T23:00:00-0500","DAVID J. FOSS",,,,,
"20180608103841P030122027089001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"NEW ENGLAND ORTHOPEDIC SURGEONS WELFARE BENEFITS PLAN","501","2006-01-01","NEW ENGLAND ORTHOPEDIC SURGEONS, INC.",,,"300 BIRNIE AVE., SUITE 201",,"SPRINGFIELD","MA","01107",,,,,,,,,,,,,,,,,,"042521996","4132331102","621111",,,,,,,,,,,,,,,,"NEW ENGLAND ORTHOPEDIC SURGEIONS, INC.","042521996","501","2018-06-08T10:27:25-0500","ANTHONY RINO",,,,,195,207,0,0,207,,,,,,,"4A4B4D4F4H4L","1","0","0","1","1","0","0","1","0","0","0","0","0","1","2","0","0","0","FILING_RECEIVED","2018-06-08","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,194,"2",,,,,"NEW ENGLAND ORTHOPEDIC SURGEONS WELFARE PLAN",,,,
"20180608103939P040124892801001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"EMERGYCARE, INC. LONG TERM DISABILITY PLAN","503","1998-01-01","EMERGYCARE, INC.",,,"1926 PEACH ST",,"ERIE","PA","165022872",,,,,,,"1926 PEACH ST",,"ERIE","PA","165022872",,,,,,,"251430922","8148701032","621900",,,,,,,,,,,,,,,,,,,"2018-06-08T10:39:22-0500","ABIGAIL JOHNSON",,,,,185,178,,,178,,178,,,,,"4H","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-06-08","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,185,"2",,,,,,,,,
"20180608104043P040115299367001","2017-04-01","2018-03-31","2",,"0","0","0","0","0","0","0","0","0",,"HAMILTON INDUSTRIAL GRINDING, INC. EMPLOYEES PROFIT SHARING & 401K PLAN","001","1973-03-15","HAMILTON INDUSTRIAL GRINDING, INC.",,,"240 N B ST",,"HAMILTON","OH","45013",,,,,,,"240 N B ST",,"HAMILTON","OH","45013",,,,,,,"310630480","5138631221","332900",,,,,,,,,,,,,,,,,,,"2018-06-08T06:33:41-0500","JOAN ASHBROOK",,,,,43,41,0,3,44,0,44,33,0,,"2E2F2G2J2K2T3D",,"0","0","1","0","0","0","1","0","1","0",,"0","1","0",,"0","0","0","FILING_RECEIVED","2018-06-08","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,42,,,,,,,,,,
"20180608140825P030079783725001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"LAKESIDE BOTTLING COMPANY RETIREMENT SAVINGS PLAN","001","1968-01-01","LAKESIDE BOTTLING COMPANY",,,"300 FOREST AVENUE",,"SHEBOYGAN FALLS","WI","53085",,,,,,,,,,,,,,,,,,"390417440","9204678601","424400",,,,,,,,,,,,,,,,,,,"2018-06-08T10:05:16-0500","PETE SCHUELLER",,,,,60,54,0,10,64,0,64,58,0,,"2E2F2G2J2K2S2T3D",,"1","0","1","0","1","0","1","0","1","0",,"0","1","1","1","0","1","0","FILING_RECEIVED","2018-06-08","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,49,,,,,,,,,,
"20180608075724P030121680737001","2017-01-01","2017-12-31","2",,,,,,,,,,,,"EMPLOYER SERVICES CORPORATION SECTION 125 PLAN","504","1995-12-01","EMPLOYER SERVICES CORPORATION",,,"20 PINEVIEW DRIVE",,"AMHERST","NY","14228",,,,,,,,,,,,,,,,,,"161479373","7166914455","541990",,,,,,,,,,,,,,,,,,,,,,,,,7018,6193,11,,6204,,,,,,,"4A4B4D4E4F4H4Q","1",,,,"1",,,,,,,,,"1","17",,,,"FILING_RECEIVED","2018-06-08",,,,,,"1",,,,,,,,,,,,,,,,,7006,,,,"2018-06-04T07:00:00-0500","GREG BAUER",,,,,
