"20180315153944P040135205159001","2017-01-01","2017-05-31","2",,"0","1","1","1","0","1","0","0","0",,"CONDE NAST 401(K) PLAN","003","1987-01-01","ADVANCE MAGAZINE PUBLISHERS INC.",,,"ONE WORLD TRADE CENTER",,"NEW YORK","NY","10007",,,,,,,,,,,,,,,,,,"133479374","3028309441","511120",,,,,,,,,,,,,,,,,,,"2018-03-15T11:39:30-0500","CATHERINE POWERS",,,,,5142,0,0,0,0,0,0,0,0,,"2F2G2J2K2R2S2T3F3H",,"0","0","1","0","0","0","1","0","1","0",,"1","0","0",,"1","1","0","FILING_RECEIVED","2018-03-15","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,2551,,,,,,,,,,
"20180315154156P030144430737001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"MKG INTERIORS, INC. 401(K) PLAN","001","2016-06-29","MKG INTERIORS, INC.",,,"550 POPPY LANE",,"MARYSVILLE","OH","43040",,,,,,,,,,,,,,,,,,"813110459","6143900170","541400",,,,,,,,,,,,,,,,,,,"2018-03-15T15:41:35-0500","GREGORY M THRUSH","2018-03-15T15:41:35-0500","GREGORY M THRUSH",,,1,2,0,0,2,0,2,1,0,,"2E2F2G2J2K3D",,"0","0","1","0","0","0","1","0","0","0","0","0","1","0",,"0","0","0","FILING_RECEIVED","2018-03-15","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,1,,,,,,,,,,
"20180315154508P040156721473001","2017-01-01","2017-12-31","2",,,,,,,,,,,,"L. R. WILSON FARMS, INC PENSION PLAN","001","1980-01-01","L R WILSON FARMS, INC",,,"801 S. BENTON STREET",,"SEARCY","AR","72143",,,,,,,,,,,,,,,,,,"710459232","8705881396","111900",,,,,,,,,,,,,,,,,,,"2018-03-15T16:04:58-0500","LEONARD R WILSON","2018-03-15T16:05:01-0500","LEONARD WILSON",,,1,0,1,0,1,0,1,1,0,,"2C",,,,"1",,,,"1",,,,,,"1",,,,,,"FILING_RECEIVED","2018-03-15","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,
"20180315154718P030144435041001","2017-01-01","2017-05-31","1",,,,"1","1","1","1",,,,,"DIVERSIFIED OPHTHAMLICS, INC HEALTH PLAN","501","2000-09-01","DIVERSIFIED OPHTHAMLICS, INC",,"DEBBIE MUNZ","250 MCCOLLOUGH STREET",,"CINCINNATI","OH","45226",,,,,,,,,,,,,,,,,,"310927558","5133217988","424210",,,,,,,,,,,,,,,,,,,,,,,,,156,0,,,0,,,,,,,"4A","1",,,,"1",,,,,,,,,"1","1",,,,"FILING_RECEIVED","2018-03-15",,,,,,"1",,,,,,,,,,,,,,,,,156,"2",,,"2018-03-15T07:00:00-0500","DEBORAH MUNZ",,,,,
"20180315154718P030144435041002","2017-01-01","2017-12-31","2",,,,,,,,,,,,"EDWARD K DUCKWORTH PROFIT SHARING PLAN","002","1986-09-09","EDWARD K DUCKWORTH LAW OFFICE PC",,,"11 MAIN STREET SE",,"RONAN","MT","59864",,,,,,,"11 MAIN STREET SE",,"RONAN","MT","59864",,,,,,,"810480690","4066763395","541110",,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,,2,2,,,"2E",,,,"1",,,,"1",,,,,,"1",,,,,,"FILING_RECEIVED","2018-03-15",,,,,,"1",,,,,,,,,,,,,,,,,2,,,,"2018-03-06T06:00:00-0600","EDWARD K DUCKWORTH",,,,,
"20180316081644P040157870545001","2017-01-04","2017-12-31","2",,"1",,,"1",,,,,,,"AAG IN HOME CARE INC. RETIREMENT PLAN","001","2017-01-04","AAG IN HOME CARE INC.",,,"104 SCHUYLER ROAD",,"ALLENDALE","NJ","07401",,,,,,,,,,,,,,,,,,"814847875","9178469067","812990",,,,,,,,,,,,,,,,,,,"2018-03-16T09:14:22-0500","ANDREW KAY",,,,,2,2,0,0,2,0,2,2,0,,"2E2G2R3D",,,,"1",,,,"1",,,,,,"1",,,,,,"FILING_RECEIVED","2018-03-16","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,2,,,,,,,,,,
"20180316081651P040157870753001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"NESTLE DE PUERTO RICO INC. HEALTH 2017","501","2008-11-01","NESTLE DE PUERTO RICO, INC",,,"PO BOX 364565",,"SAN JUAN","PR","009364565",,,,,,,,,,,,,,,,,,"660500550","7879995100","311500",,,,,,,,,,,,,,,,,,,"2018-03-14T10:09:22-0500","ANA DEL ROSARIO",,,,,147,138,,,138,,138,,,,,"4A","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-03-16","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,147,"2",,,,,,,,,
"20180316082038P040157875553001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"NORTHERN COUNTIES HEALTH CARE INC., EMPLOYEE HEALTH PLAN","501","2007-12-01","NORTHERN COUNTIES HEALTH CARE",,,"165 SHERMAN DR",,"ST JOHNSBURY","VT","058199811",,,,,,,"165 SHERMAN DRIVE",,"ST JOHNSBURY","VT","05819",,,,,,,"510199559","8027489405","621399",,,,,,,,,,,,,,,,,,,"2018-03-16T08:20:00-0500","THOMAS PITTS","2018-03-16T08:20:01-0500","THOMAS PITTS",,,144,169,,,169,,169,,,,,"4A","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-03-16","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,144,"2",,,,,,,,,
"20180316083210P040157889361001","2017-09-01","2017-11-30","2",,"0","0","0","1","0","0","0","0","0",,"TRIPLE-S SALUD (UNIONADOS)","508","2008-11-01","TRIPLE-S SALUD, INC.",,"MARIA SOLER","PO BOX 363628",,"SAN JUAN","PR","009363628",,,,,,,"FD ROOSEVELT # 1441",,"SAN JUAN","PR","00936",,,,,,,"660555677","7877494949","524140",,,,,,,,,,,,,,,,,,,"2018-03-14T16:48:55-0500","MARIA SOLER",,,,,571,580,0,0,580,0,580,,,,,"4A","1","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-03-16","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,571,"2",,,,,,,,,
"20180316083305P030145864913001","2017-05-01","2017-06-30","2",,"0","0","1","1","0","0","0","0","1","HURRICANE MARIA (PR 17-02 AMENDED)","TRIPLE-S ADVANTAGE SOLUTIONS, INC. HEALTH PLAN","504","2006-03-01","TRIPLE-S ADVANTAGE SOLUTIONS, INC.",,"MARIA SOLER","PO BOX 11320",,"SAN JUAN","PR","00922",,,,,,,"PO BOX 11320",,"SAN JUAN","PR","00922",,,,,,,"660650587","7876201919","524140",,,,,,,,,,,,,,,,,,,"2018-03-14T16:46:48-0500","MARIA SOLER",,,,,450,0,0,0,0,0,0,,,,,"4A4D","1","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-03-16","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,450,"2",,,,,,,,,
