"20180621105618P040000372485001","2017-01-01","2017-12-31","2",,,,,,,,,,,,"MAINE EYE CENTER DENTAL INSURANCE","502","2008-06-01","MAINE EYE CENTER",,,"15 LOWELL STREET",,"PORTLAND","ME","04102",,,,,,,,,,,,,,,,,,"010329291","2075235302","621320",,,,,,,,,,,,,,,,,,,,,,,,,113,116,0,0,116,,,,,,,"4D","1",,,,"1",,,,,,,,,"1","1",,,,"FILING_RECEIVED","2018-06-21",,,,,,"1",,,,,,,,,,,,,,,,,113,"2",,,"2018-06-15T03:00:00-0500","SANDRA BRACKETT",,,,,
"20180621105633P040000372501001","2017-01-01","2017-12-31","2",,"1",,,,,,,,,,"MAINE EYE CENTER HMO COBRA","501","2016-01-01","MAINE EYE CENTER",,,"15 LOWELL STREET",,"PORTLAND","ME","04102",,,,,,,,,,,,,,,,,,"010329291","2075235302","621320",,,,,,,,,,,,,,,,,,,,,,,,,156,210,0,0,210,,,,,,,"4A","1",,,,"1",,,,,,,,,"1","2",,,,"FILING_RECEIVED","2018-06-21",,,,,,"1",,,,,,,,,,,,,,,,,156,"2",,,"2018-06-21T03:00:00-0500","SANDRA BRACKETT",,,,,
"20180621105701P030000009544001","2017-02-01","2018-01-31","2",,"0",,"0","0","0",,,,,,"ENGINEERING INDUSTRIES, INC. EMPLOYEE STOCK OWNERSHIP PLAN","002","1990-02-01","ENGINEERING INDUSTRIES, INC.",,,"407 S NINE MOUND RD",,"VERONA","WI","535931395",,,,,,,,,,,,,,,,,,"391098063","6088456569","326100",,,,,,,,,,,,,,,,,,,"2018-06-21T10:56:58-0500","DEAN VANDEBERG","2018-06-21T10:43:42-0500","MARK SMITH",,,85,72,9,5,86,2,88,88,1,,"2I2P2Q3I",,,,"1",,,,"1",,"1","0","0","0","1","0",,"0","0","0","FILING_RECEIVED","2018-06-21","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,71,,,,,,,,,,
"20180621105708P030010480519001","2017-01-01","2017-12-31","2",,,,,,,,,,,,"COLEMAN RESEARCH BENEFITS PLAN","501","2014-01-01","COLEMAN RESEARCH GROUP, INC.",,,"120 WEST 45TH STREET",,"NEW YORK","NY","10036",,,,,,,,,,,,,,,,,,"204096347","6466953286","541990",,,,,,,,,,,,,,,,,,,,,,,,,130,155,0,0,155,,,,,,,"4A4B4D4E4F4H4L","1",,,,"1",,,,,,,,,"1","2",,,,"FILING_RECEIVED","2018-06-21",,,,,,"1",,,,,,,,,,,,,,,,,130,"2",,,"2018-06-21T03:00:00-0500","STEPHEN MADDEN",,,,,
"20180622093245P040000380105001","2017-01-01","2017-12-31","2",,"1","0","0","0","0","0","0","0","0",,"ANGLOGOLD ASHANTI NORTH AMERICA INC. RETIREE MEDICAL PLAN","506","1994-04-01","ANGLOGOLD ASHANTI NORTH AMERICA INC.",,,"6300 S SYRACUSE WAY STE 500",,"CENTENNIAL","CO","801116725",,,,,,,"6300 S SYRACUSE WAY STE 500",,"CENTENNIAL","CO","801116725",,,,,,,"841137980","3038890716","212200",,,,,,,,,,,,,,,,,,,"2018-06-22T09:29:33-0500","DANIELLE TENNANT",,,,,36,,30,,30,5,35,,,,,"4A4D4E4Q","0","0","0","1","0","0","0","1","0","0","0","0","0","0",,"0","0","0","FILING_RECEIVED","2018-06-22","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,,"2",,,,,,,,,
"20180622093318P040000380153001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"VIRGINIA PHYSICIANS, INC. WELFARE BENEFIT PLAN","501","2000-02-01","VIRGINIA PHYSICIANS, INC.",,,"4900 COX ROAD, SUITE 155",,"GLEN ALLEN","VA","23060",,,,,,,,,,,,,,,,,,"540883363","8047268571","621111",,,,,,,,,,,,,,,,,,,"2018-06-22T09:24:29-0500","KATHERINE HUGHES",,,,,285,244,6,0,250,,,,,,,"4A4B4D4E4F4H4Q","1","0","0","1","1","0","0","1","0","0","0","0","0","1","5","0","0","0","FILING_RECEIVED","2018-06-22","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,234,"2",,,,,,,,,
"20180622093713P040013340849001","2017-04-01","2018-03-31","2",,"0","0","0","0","0","0","0","0","0",,"PAN PEPIN INC - HEALTH 2017","501","2012-12-01","PAN PEPIN INC",,,"PO BOX 100",,"BAYAMON","PR","009600100",,,,,,,,,,,,,,,,,,"660293260","7877871717","311900",,,,,,,,,,,,,,,,,,,"2018-06-22T09:23:17-0500","VICTOR MARTINEZ","2018-06-22T09:23:17-0500","VICTOR MARTINEZ",,,495,459,,,459,,459,,,,,"4A","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-06-22","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,495,"2",,,,,,,,,
"20180622093717P040013341025001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"CHUGAI PHARMA USA 401(K) PLAN","001","2009-01-01","CHUGAI PHARMA USA, INC.",,,"300 CONNELL DR STE 3100",,"BERKELEY HEIGHTS","NJ","079222820",,,,,,,,,,,,,,,,,,"030400547","9085161350","541700",,,,,,,,,,,,,,,,,,,"2018-06-22T05:36:45-0500","GREGG RUSSO",,,,,35,31,0,11,42,0,42,40,0,,"2E2F2G2J2K2S2T3D3F3H",,"0","0","1","0","0","0","1","0","1","0",,"0","1","0",,"0","0","0","FILING_RECEIVED","2018-06-22","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,26,,,,,,,,,,
"20180622093733P030012454487001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"DODD'S LIQUOR CITY CORP. PROFIT SHARING PLAN","001","1982-01-01","DODD'S LIQUOR CITY CORP. PROFIT SHARING PLAN",,,"P.O. BOX 406",,"MILLWOOD","NY","10546",,,,,,,,,,,,,,,,,,"132782690","9147625511","445310","DODD'S LIQUOR CITY CORP. PROFIT SHARING PLAN",,"P.O. BOX 406",,"MILLWOOD","NY","10546",,,,,,,"132782690","9147625511",,,,"2018-06-22T09:37:20-0500","DODD FARBER",,,,,7,7,0,0,7,0,7,7,0,,"2A2E2G",,"0","0","1","0","0","0","1","0","1","0","0","0","1","0",,"0","0","0","FILING_RECEIVED","2018-06-22","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
"20180622093822P040013376055001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"UEMF LIFE INSURANCE PLAN","502","2013-01-01","UNIVERSITY EMERGENCY MEDICINE FOUNDATION",,,"125 WHIPPLE STREET","3RD FLOOR","PROVIDENCE","RI","02908",,,,,,,,,,,,,,,,,,"050486254","4015191604","622000",,,,,,,,,,,,,,,,,,,"2018-06-22T09:37:39-0500","KIM ROUN",,,,,241,253,0,0,253,,,,,,,"4B4Q","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2018-06-22","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,241,"2",,,,,,,,,
"20180622094109P040013350033001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","0","0","0","0",,"JACKSON SPALDING, INC. HEALTH AND WELFARE PLAN","501","2013-11-01","JACKSON SPALDING, INC.",,,"1100 PEACHTREE STREET NORTHEAST","18TH FLOOR","ATLANTA","GA","30309",,,,,,,,,,,,,,,,,,"582180530","4047242500","541800",,,,,,,,,,,,,,,,,,,"2018-06-22T09:16:01-0500","RITA IZAGUIRRE",,,,,135,150,1,1,152,,,,,,,"4A4B4D4E4F4H4Q","1","0","0","1","1","0","0","1","0","0","0","0","0","1","2","0","0","0","FILING_RECEIVED","2018-06-22","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,134,"2",,,,,,,,,
"20180622094246P030012466471001","2017-01-01","2017-12-31","2",,"0","0","0","0","1","1","0","0","0",,"ROUSSELOT, INC. LOCAL 13 UAW EMPLOYEES' RETIREMENT SAVINGS PLAN","001","1984-03-01","ROUSSELOT, INC.",,,"2350 KERPER BOULEVARD",,"DUBUQUE","IA","520010938",,,,,,,,,,,,,,,,,,"753029395","5635886244","311900",,,,,,,,,,,,,,,,,,,"2018-06-22T05:42:29-0500","STEPHEN SMITH",,,,,56,50,0,8,58,0,58,58,2,,"2E2F2G2J2K2T3D3H",,"0","0","1","0","0","0","1","0","1","0",,"0","1","0",,"0","0","0","FILING_RECEIVED","2018-06-22","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,48,,,,,,,,,,
