"20180809131257P040003579321001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"SPEARS MANUFACTURING COMPANY 401(K) PROFIT SHARING PLAN","001","1985-07-01","SPEARS MANUFACTURING CO.",,,"15853 OLDEN STREET",,"SYLMAR","CA","91342",,,,,,,,,,,,,,,,,,"952647135","8183641611","326100",,,,,,,,,,,,,,,,,,,"2018-08-09T09:12:39-0500","DARLENE FOURRIEL",,,,,1831,37,1,25,63,0,63,35,0,,"2F2H2J2K2T3D2E",,"0","0","1","0","0","0","1","0","1","0",,"1","0","0",,"1","0","0","FILING_RECEIVED","2018-08-09","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,1805,,,,,,,,,,
"20180809131307P030110648679001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"HOTEL MANAGEMENT OF NEW ORLEANS 401(K) PLAN","001","1999-01-01","HOTEL MANAGEMENT OF NEW ORLEANS LLC",,,"830 CONTI ST",,"NEW ORLEANS","LA","70112",,,,,,,,,,,,,,,,,,"720848974","5046361012","721110",,,,,,,,,,,,,,,,,,,,,,,,,166,141,0,16,157,0,157,83,1,,"2E2F2G2J2K2T3D",,"1","0","1","0","1","0","1","0","1","0","0","1","0","1","1","1","1","0","FILING_RECEIVED","2018-08-09",,,,,,"1",,,,,,,,,,,,,,,,,154,,,,"2018-08-07T07:00:00-0500","CHRISTOPHER VALENTINO",,"2018-08-07T07:00:00-0500","CHRISTOPHER VALENTINO",,
"20180809131334P040109394167001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"IVEY, BARNUM & O'MARA ATTORNEY'S PENSION PLAN","002","1982-01-01","IVEY, BARNUM & O'MARA, LLC",,,"170 MASON ST",,"GREENWICH","CT","068306644",,,,,,,,,,,,,,,,,,"060642300","2036616000","541110",,,,,,,,,,,,,,,,"IVEY BARNUM & O MARA","060642300","002","2018-08-09T09:13:14-0500","EDWARD COSDEN JR.",,,,,56,48,1,6,55,0,55,55,0,,"2E2F2G2J2T3B3D2A",,"0","0","1","0","0","0","1","0","1","0",,"0","1","0","0","0","0","0","FILING_RECEIVED","2018-08-09","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,48,,,,,,"IVEY, BARNUM & O'MARA, LLC",,,,
"20180809131353P030110650951001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"CHARLES RIZZO & ASSOCIATES OF NY, INC. DEFINED BENEFIT PLAN","003","2009-01-01","CHARLES RIZZO & ASSOCIATES OF NY, INC.",,,"1333 BROADWAY","5TH FLOOR","NEW YORK","NY","10018",,,,,,,,,,,,,,,,,,"562398884","2126955980","812990","CHARLES RIZZO & ASSOCIATES OF NY, INC.",,"1333 BROADWAY, 5TH FLOOR",,"NEW YORK","NY","10018",,,,,,,"562398884","2126955980",,,,"2018-08-09T13:13:18-0500","CHARLES RIZZO",,,,,28,27,0,1,28,0,28,,0,,"1C1I3H",,"0","0","1","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","FILING_RECEIVED","2018-08-09","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,
"20180809131722P030004588521001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"CHARLES RIZZO & ASSOCIATES OF NY, INC. 401(K) RETIREMENT PLAN","001","1990-01-01","CHARLES RIZZO & ASSOCIATES OF NY, INC.",,,"1333 BROADWAY","5TH FLOOR","NEW YORK","NY","10018",,,,,,,,,,,,,,,,,,"562398884","2126955980","812990","CHARLES RIZZO & ASSOCIATES OF NY, INC.",,"1333 BROADWAY","5TH FLOOR","NEW YORK","NY","10018",,,,,,,"562398884","2126955980",,,,"2018-08-09T13:15:54-0500","CHARLES RIZZO",,,,,70,61,0,10,71,0,71,39,0,,"2E2F2J3D3H",,"1","0","1","0","0","0","1","0","1","0","0","0","1","1","1","0","1","0","FILING_RECEIVED","2018-08-09","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,
"20180809131750P030110661815001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"SYMPHONY 401(K) PLAN","001","2016-01-01","SYMPHONY COMMUNICATION SERVICES LLC",,,"1117 S. CALIFORNIA AVENUE",,"PALO ALTO","CA","94304",,,,,,,,,,,,,,,,,,"471920335","6507336660","541511",,,,,,,,,,,,,,,,,,,"2018-08-09T13:15:18-0500","INDIRA DEWINTER",,,,,176,175,0,18,193,0,193,160,0,,"2E2F2G2J2K2S2T3D",,"1","0","1","0","1","0","1","0","1","0","0","1","0","1","1","1","0","0","FILING_RECEIVED","2018-08-09","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,167,,,,,,,,,,
"20180809131819P040004878309001","2017-01-01","2017-12-31","1",,,,,,"1",,"1",,,,"PLUMBERS & PIPEFITTERS LOCAL #25 401K PLAN","001","1995-05-01","PLUMBERS & PIPEFITTERS LOCAL 25",,,"4600 46TH ST",,"ROCK ISLAND","IL","61201",,,,,,,,,,,,,,,,,,"421444511","3097941170","238220",,,,,,,,,,,,,,,,,,,,,,,,,664,1056,,,1056,,1056,1056,,77,"2G2J",,,,"1",,,,"1",,"1",,,"1",,,,"1",,,"FILING_RECEIVED","2018-08-09",,,,,,"1",,,,,,,,,,,,,,,,,664,,,,"2018-08-08T07:00:00-0500","RICK LUNDVALL",,"2018-08-08T07:00:00-0500","W THOMAS MCCUNE",,
"20180809131900P040004878517001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"HUGH GAMS D/B/A THREE R BUILDERS PROFIT SHARING PLAN","001","1990-01-01","HUGH GAMS D/B/A THREE R BUILDERS",,,"196 EAST BEAUMONT STREET",,"COLUMBUS","OH","432142144",,,,,,,,,,,,,,,,,,"330394832","6199933332","238300",,,,,,,,,,,,,,,,,,,"2018-08-09T13:18:06-0500","HUGH GAMS",,,,,2,2,0,0,2,0,2,2,0,,"2E2F2J2K3B3D",,"0","0","1","0","0","0","1","0","1","0","0","0","1","0",,"0","0","0","FILING_RECEIVED","2018-08-09","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,2,,,,,,,,,,
"20180809131903P040004878533001","2017-01-01","2017-12-31","2",,"0","0","0","0","0","1","0","0","0",,"FORT WAYNE METALS RESEARCH PRODUCTS CORP. RETIREMENT SAVINGS PLAN","001","1985-07-01","FORT WAYNE METALS RESEARCH PRODUCTS CORP.",,,"9609 ARDMORE AVENUE",,"FORT WAYNE","IN","46809",,,,,,,,,,,,,,,,,,"351186549","2607474154","332610",,,,,,,,,,,,,,,,,,,"2018-08-09T13:18:01-0500","ROGER BUCHTMAN",,,,,903,881,14,65,960,2,962,962,35,,"2E2F2G2J2K2T3D",,"1","0","1","0","1","0","1","0","1","0","0","1","0","1","1","1","0","0","FILING_RECEIVED","2018-08-09","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,855,,,,,,,,,,
"20180809131947P040122128689001","2017-02-01","2018-01-31","2",,"0","0","0","0","0","0","0","0","0",,"THE SEEING EYE WELFARE BENEFITS PLAN","502","1994-02-01","THE SEEING EYE, INC.",,,"P.O. BOX 375",,"MORRISTOWN","NJ","07963",,,,,,,,,,,,,,,,,,"221539721","9735394425","115210",,,,,,,,,,,,,,,,,,,"2018-08-09T13:17:03-0500","RANDALL IVENS",,,,,154,125,28,0,153,,,,,,,"4A4B4D4E4H4Q","1","0","0","1","1","0","0","1","0","0","0","0","0","1","8","0","0","0","FILING_RECEIVED","2018-08-09","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,127,"2",,,,,,,,,
